id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
1166,ESOMEPRAZOL SÓDICO,NCT02637557,A Trial of IW-3718 for 8 Weeks in Patients With Symptomatic Gastroesophageal Reflux Disease (GERD),Gastroesophageal Reflux Disease,"IW-3718, Matching Placebo, PPI","Percent Change From Baseline to Week 8 in Weekly Heartburn Severity Score (WHSS), Percent Change From Baseline to Week 4 in WHSS, Change From Baseline to Week 8 in WHSS, Change From Baseline to Week 4 in WHSS, Percentage of Participants Who Are Overall Heartburn Responders, Percentage of Participants With a DHSS of No More Than Very Mild (≤ 1) on Any Day During Week 8, Percentage of Participants With a DHSS of No More Than Very Mild (≤ 1) on Any Day During Week 4, Change From Baseline in the Number of Days Where DHSS Was No More Than Very Mild (≤ 1) During Week 8, Change From Baseline in the Number of Days Where DHSS Was No More Than Very Mild (≤ 1) During Week 4, Change From Baseline Over Time in the Weekly Average of Modified Reflux Symptom Questionnaire - Electronic Diary (mRESQ-eD) Item 'Heartburn Severity', Change From Baseline Over Time in the Weekly Average of mRESQ-eD Item 'Burning Feeling Behind Breastbone or Center of Upper Stomach Severity', Change From Baseline Over Time in the mRESQ-eD Item 'Pain Behind Breastbone or Center of Upper Stomach Severity', Change From Baseline Over Time in the mRESQ-eD Item 'Difficulty Swallowing Severity', Change From Baseline Over Time in the mRESQ-eD Item 'Hoarseness Severity', Change From Baseline Over Time in the mRESQ-eD Item 'Cough Severity', Change From Baseline Over Time in the mRESQ-eD Item 'Regurgitation Frequency', Change From Baseline Over Time in the mRESQ-eD Item 'Acid or Bitter Taste Frequency', Change From Baseline Over Time in the mRESQ-eD Item 'Coughing Frequency', Change From Baseline Over Time in the mRESQ-eD Item 'Burping Frequency', Change From Baseline in the Proportion of Heartburn-Free Days During Week 8, Change From Baseline in the Proportion of Heartburn-Free Days During Week 4"
1166,ESOMEPRAZOL SÓDICO,NCT03094416,Levothyroxine Sodium in Thyroidectomized Patients Taking Proton Pump Inhibitors,Hypothyroidism;Postablative,"levothyroxine sodium capsule, Proton pump inhibitor (PPI), Levothyroxine Sodium (LT4) Tablets","Thyroid Stimulating Hormone (TSH), Free Thyroxine (FT4), Total Thyroxine (TT4), Free Triiodothyronine (FT3), Total Triiodothyronine (TT3), Creatine Phosphokinase (CPK), Sex Hormone Binding Globulin (SHBG), Ferritin, Angiotensin Converting Enzyme (ACE), Triglycerides, Cholesterol, Total, Low Density Lipoprotein (LDL)-Cholesterol, High Density Lipoprotein (HDL)-Cholesterol, Very Low Density Lipoprotein (VLDL)-Cholesterol"
1167,METILBROMETO DE HOMATROPINA,NCT01546402,Intraoperative Dexamethasone Implant Improves Outcome of Cataract Surgery With Diabetic Macular Edema,"Macular Edema, Cystoid, Vision Disorders, Diabetic Macular Edema, Cystoid Macular Edema Following Cataract Surgery, Cataract","Dexamethasone Drug delivery system (Ozurdex), Cataract surgery","Change in the Central Macular Thickness, Change in the Visual Acuity"
1168,SIMETICONA,NCT02217982,Pilot Study to Assess Dimethyl Fumarate Related GI Symptom Mitigation,Relapsing Remitting Multiple Sclerosis,"Simethicone, Loperamide, Peanut Butter","Reported GI Symptoms, Diarrhea Reduction, Number of Participants With Pre-Existing GI Conditions"
1168,SIMETICONA,NCT01622673,A Pharmacokinetic Study to Evaluate the Effect of Antacids on Raltegravir (MK-0518) in HIV-Infected Participants (MK-0518-247),HIV Infections,"Raltegravir, TUMS® Ultra Strength, MINTOX® Maximum Strength","Least Squares Mean Steady State Plasma Concentration (C12hrs) of Raltegravir After Coadministration of Antacid (Primary Hypothesis), Least Squares Mean Steady State Plasma Concentration (C12hrs) of Raltegravir After Staggered Administration of Antacid (Secondary Hypothesis), Least Squares Mean Steady State Area Under the Plasma Concentration-time Curve (AUC0-12hrs) of Raltegravir After Coadministration of Antacid (Primary Hypothesis), Least Squares Mean Steady State Area Under the Plasma Concentration-Time (AUC0-12hrs) of Raltegravir After Staggered Administration of Antacid (Secondary Hypothesis), Least Squares Mean Maximum Plasma Concentration (Cmax) of Raltegravir After Coadministration of Antacid (Primary Hypothesis), Least Squares Mean Maximum Plasma Concentration (Cmax) of Raltegravir After Staggered Administration of Antacid (Secondary Hypothesis), Mean Time to Maximum Plasma Concentration (Tmax) of Raltegravir, Number of Participants With Any Clinical or Laboratory Adverse Event (AE)"
1169,DESOXIMETASONA,NCT02340169,"Adrenal Suppression and Pharmacokinetics of Topicort® Spray, 0.25% in Pediatric Patients With Plaque Psoriasis",Plaque Psoriasis,"Topicort® (desoximetasone) Topical Spray, 0.25%","The Number of Participants With Hypothalmic Pituitary Adrenal Axis Function Suppression as Measured by Cortisol Response Test, Adverse Event, Cpre-ss"
1169,DESOXIMETASONA,NCT02985736,Topical Scalp Psoriasis Study Evaluating Topicort Topical Spray,Psoriasis,Topicort Topical Spray,Investigator Global Assessment (Scalp Only)
1169,DESOXIMETASONA,NCT02983981,Topical Psoriasis Study for Patients Receiving Biologic Therapy,Psoriasis,Topicort Topical Spray,"Psoriasis Severity, Psoriasis Severity, Psoriasis Severity, Dermatology Life Quality Index"
1171,ACETATO DE NORETISTERONA,NCT00522873,Endometrial Safety Study,Postmenopause,"0.25mg DRSP / 0.5mg E2 (BAY86-4891), 0.5mg NETA / 1.0mg E2 (Activella)","Number of Participants in the DRSP/E2 Group With an Assessment of Endometrial Hyperplasia or Worse at End of Study (EoS) (1 Year of Treatment), Number of Participants With Amenorrhea During Month 1 to 3 of Treatment, Number of Participants With Amenorrhea During Month 10 to 12 of Treatment"
1171,ACETATO DE NORETISTERONA,NCT01157182,"Estradiol/Norethindrone Acetate Tablets, 1/0.5 mg Under Fasting Conditions",Healthy,"Estradiol/Norethindrone acetate, Activella®","Cmax for Norethindrone(Maximum Observed Concentration of Drug Substance in Plasma), AUC0-t for Norethindrone(Area Under the Concentration-time Curve From Time Zero to Time of Last Measurable Concentration), AUC0-inf for Norethindrone(Area Under the Concentration-time Curve From Time Zero to Infinity), Cmax for Corrected Total Estrone(Maximum Observed Concentration of Drug Substance in Plasma), AUC0-t for Corrected Total Estrone(Area Under the Concentration-time Curve From Time Zero to Time of Last Measurable Concentration), AUC0-inf for Corrected Total Estrone(Area Under the Concentration-time Curve From Time Zero to Infinity), Cmax for Uncorrected Total Estrone(Maximum Observed Concentration of Drug Substance in Plasma), AUC0-t for Uncorrected Total Estrone(Area Under the Concentration-time Curve From Time Zero to Time of Last Measurable Concentration), AUC0-inf for Uncorrected Total Estrone(Area Under the Concentration-time Curve From Time Zero to Infinity), Cmax for Uncorrected Unconjugated Estradiol(Maximum Observed Concentration of Drug Substance in Plasma), AUC0-t for Uncorrected Unconjugated Estradiol(Area Under the Concentration-time Curve From Time Zero to Time of Last Measurable Concentration), AUC0-inf for Uncorrected Unconjugated Estradiol(Area Under the Concentration-time Curve From Time Zero to Infinity), Cmax for Uncorrected Unconjugated Estrone(Maximum Observed Concentration of Drug Substance in Plasma), AUC0-t for Uncorrected Unconjugated Estrone(Area Under the Concentration-time Curve From Time Zero to Time of Last Measurable Concentration), AUC0-inf for Uncorrected Unconjugated Estrone(Area Under the Concentration-time Curve From Time Zero to Infinity), Cmax for Corrected Unconjugated Estradiol(Maximum Observed Concentration of Drug Substance in Plasma), AUC0-t for Corrected Unconjugated Estradiol.(Area Under the Concentration-time Curve From Time Zero to Time of Last Measurable Concentration), AUC0-inf for Corrected Unconjugated Estradiol(Area Under the Concentration-time Curve From Time Zero to Infinity), Cmax for Corrected Unconjugated Estrone(Maximum Observed Concentration of Drug Substance in Plasma), AUC0-t for Corrected Unconjugated Estrone(Area Under the Concentration-time Curve From Time Zero to Time of Last Measurable Concentration), AUC0-inf for Corrected Unconjugated Estrone(Area Under the Concentration-time Curve From Time Zero to Infinity)"
