id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
3,SALICILATO DE SÓDIO,NCT01514682,Anti-Inflammatory Treatment of Schizophrenia,Schizophrenia,"Anti-inflammatory Combination Therapy, Placebo","Change in Persistent Positive Symptoms, Change in Neuropsychological Test Performance, Change in Depressive Symptoms, Change in Negative Symptoms, Change in Pro-inflammatory Cytokines, Change in C-Reactive Protein (CRP)"
3,SALICILATO DE SÓDIO,NCT01046682,Safety and Efficacy of Salsalate to Treat Endothelial Dysfunction in HIV-infected Adults,"HIV, Endothelial Dysfunction, Inflammation, Insulin Resistance",Salsalate,Change in Flow Mediated Dilation (FMD) of the Brachial Artery Measured by Ultrasound Over 13 Weeks
3,SALICILATO DE SÓDIO,NCT01182727,Salsalate for Insulin Resistance in Schizophrenia,"Schizophrenia, Insulin Resistance",salsalate,Side Effects of Salsalate
3,SALICILATO DE SÓDIO,NCT02936843,Targeting Inflammation With Salsalate in Type 1 Diabetes Neuropathy,"Type 1 Diabetes, Peripheral Neuropathy","Salsalate, PLACEBO","Skin Biopsy - Intraepidermal Nerve Fiber Density (IENFD) - Distal Thigh, Measures of Cardiac Autonomic Neuropathy (CAN) - Valsalva Ratio, Measures of Cardiac Autonomic Neuropathy (CAN) - Expiration/Inspiration Ratio, Measures of Cardiac Autonomic Neuropathy (CAN) - 30:15 Ratio, Measures of Cardiac Autonomic Neuropathy (CAN) - SDNN, Measures of Cardiac Autonomic Neuropathy (CAN) - RMSSD, Nerve Conduction, Quantitative Sensory Testing - Just Noticeable Difference in COLD Detection, Quantitative Sensory Testing - Just Noticeable Difference- Vibration, Diabetic Neuropathy Symptoms, Survey of Autonomic Symptoms (SAS), The DCCT/EDIC Structured Neurological Examination, NeuroQOL, Neuropathic Pain Scale, The Berg Balance Scale, 8 Foot Up and Go Test, The Modified Falls Efficacy Scale"
3,SALICILATO DE SÓDIO,NCT01775865,Targeting Inflammation to Treat Cardiovascular Aging,"Vascular Stiffness, Endothelial Dysfunction, Diastolic Dysfunction","Salsalate, Placebo (for salsalate)","Carotid-femoral Pulse Wave Velocity (CFPWV), Brachial Artery Flow-mediated Dilation (FMD), Tissue Doppler Left Ventricular Relaxation Velocity (E')"
5,ACIDO ACETILSALICILICO,NCT03961360,Effectiveness of Higher Aspirin Dosing for Prevention of Preeclampsia in High Risk Obese Gravida,"Pre-Eclampsia, Hypertension in Pregnancy, Obesity","Aspirin 81 mg, Aspirin 162 mg","Number of Participants With Preeclampsia Diagnosis With Severe Features Based on Clinician Diagnosis, Maternal Outcomes- Number of Participants Who Delivered Due to Preeclampsia With Severe Features, Maternal Outcomes-Number of Participants With Gestational Hypertension, Maternal Outcomes- Number of Participants With Placenta Abruption, Maternal Outcomes- Number of Participants With Eclampsia, Maternal Outcomes- Number of Participants With HELLP Syndrome, Maternal Outcomes- Number of Participants With Postpartum Hemorrhage, Maternal Outcomes- Number of Participants With Other Maternal Bleeding, Maternal Outcomes- Number of Participants That Required Blood Transfusion, Neonatal Outcome- Gestational Age at Delivery, Neonatal Outcomes-Delivery at < 37 Weeks, Neonatal Outcomes-Apgar Score < 5 at 5 Minutes, Neonatal Outcome-Small for Gestational Age, Neonatal Outcome-Neonatal Intensive Care Unit (NICU) Length of Stay, Neonatal Outcome- Number of Participants With Intraventricular Hemorrhage Grade III-IV, Neonatal Outcome-Number of Participants With Bronchopulmonary Dysplasia, Neonatal Outcome-Number of Participants With Necrotizing Enterocolitis"
6,ACETATO DE ABIRATERONA,NCT02903160,"Prostate Cancer Intensive, Non-Cross Reactive Therapy (PRINT) for Castration Resistant Prostate Cancer (CRPC)",Prostate Cancer,"Abiraterone acetate, Prednisone, Radium-223 dichloride, cabazitaxel, Carboplatin, Enzalutamide","Time to Disease Progression, Overall Survival (OS), Overall Rate of Survival, Number of Participants With PSA Response Rate >90%, Number of Participants With PSA Response Rate >=50%, Number of Participants With PSA Progression Compared to Baseline., Number of Participants With Stable PSA as Compared to Baseline, Number of Participants With Normal Alkaline Phosphatase Levels"
6,ACETATO DE ABIRATERONA,NCT03002220,Trial of Rad-223 Activity in Asymptomatic Patients With mCRPC While on Abiraterone or Enzalutamide Besides AR-V7 Status,Prostate Cancer,radium-223,"Assess the Efficacy of Radium-223 in Terms of Radiological rPFS, AEs and Serious Adverse Events (SAEs), Radiographic Progression-free Survival (rPFS) Depending on AR-V7 Status., Overall Survival (OS)., Time to First Symptomatic Skeletal Event (SSE)., Time to PSA Progression According to the ALSYMPCA Study Criteria., PSA Progression, Alkaline Phosphatase Level Response (AF), Normalization of Alkaline Phosphatase Level, Assessment of AR-V7 Mutation Evolution, Number of Participants With Change in CTCs Number"
6,ACETATO DE ABIRATERONA,NCT03777982,Conventional Androgen Deprivation Therapy (ADT) With or Without Abiraterone Acetate + Prednisone and Apalutamide Following a Detectable PSA After Radiation and ADT,Prostate Cancer,"Prednisone, Apalutamide, Abiraterone Acetate, LHRH Agonist or Antagonist","Metastasis Free Survival, PSA Nadir, Castrate Resistant PSA Failure Free Survival, Prostate Cancer Specific Survival, Overall Survival, Disease Free Survival"
6,ACETATO DE ABIRATERONA,NCT02116582,A Study to Evaluate Enzalutamide After Abiraterone in Metastatic Castration-Resistant Prostate Cancer,Metastatic Castration-Resistant Prostate Cancer,Enzalutamide,"Radiographic Progression-free Survival (rPFS), Overall Survival (OS), Percentage of Participants With a Prostate-specific Antigen (PSA) Response, Time to PSA Progression, Number of Participants With Adverse Events (AEs)"
7,CLOTRIMAZOL,NCT00526227,SecuraTM ICD Clinical Evaluation Study,Tachyarrhythmias,Secura ICD,"Freedom From Unanticipated Serious Adverse Device Effects at 1-month Post Implant., System Performance Assessed by Holter Records, Adverse Events, System Performance Assessed by Save to Disk Files, System Performance Assessed by Technical Observations"
7,CLOTRIMAZOL,NCT04432376,Efficacy and Safety Study of Miconazole Oil Versus Vehicle on Fungal Infection of the Ear Canal (Otomycosis),Otomycosis,"miconazole 2% oil, vehicle oil","Percentage of Subjects With Therapeutic Cure, Percentage of Subjects With Mycological Cure, Percentage of Subjects With Clinical Cure"
8,BETAÍNA,NCT01287403,Response of Alkylresorcinols to Different Cereals,Healthy,"Refined wheat flour, Esterase wholegrain wheat flour, Wholegrain wheat flour, Liquid whole grain wheat flour, Wholegrain barley flour, Liquid wholegrain barley flour","Plasma Alkylresorcinol Compounds, Plasma and Urinary Betaine, Phenolic Acids"
8,BETAÍNA,NCT00843466,"Compatibility of a Mild, Moisturizing Hand Cleanser for Patients With Mild to Moderate Hand Dermatitis",Hand Dermatosis,"Mild, moisturizing hand cleanser",Investigator Global Assessment
8,BETAÍNA,NCT01749982,A Preliminary Study of Choline and Betaine Supplementation Among Adults Exposed to Arsenic in Bangladesh,Arsenic Metabolites Measured in Urine,"Placebo, Choline bitartrate, Betaine, Choline bitartrate + Betaine","Change in Urinary % Monomethyl Arsenic, Change in Urinary % Inorganic Arsenic, Change in Urinary % Dimethyl Arsenic"
9,CITRATO DE COLINA,NCT02735473,Choline Supplementation as a Neurodevelopmental Intervention in Fetal Alcohol Spectrum Disorders,Fetal Alcohol Spectrum Disorders,"Choline bitartrate, Placebo","Elicited Imitation Memory Task - Short Delay Memory Measure: 6 Months, Elicited Imitation Memory Task - Short Delay Memory Measure: 9 Months, Stanford-Binet Intelligence Scales: 9 Months, Minnesota Executive Function Scale: 6 Months, Minnesota Executive Function Scale: 9 Months, NIH Toolbox Flanker Task: 9 Months, NIH Toolbox Flanker Task: 6 Months, Child Behavior Checklist: 6 Months, Child Behavior Checklist: 9 Months"
9,CITRATO DE COLINA,NCT01009931,Phase II Study of TPA Plus Dexamethasone & CMT in Hematologic Malignancies,Leukemia,"12-O-tetradecanoylphorbol-13-acetate, Dexamethasone, Choline magnesium trisalicylate","Response Rate > 20% for 12-O-tetradecanoylphorbol-13- Acetate (TPA)+ Dexamethasone + Choline Magnesium Trisalicylate(Trilisate), Grade 3 and 4 Non-hematologic Treatment-related Toxicity Rates < 25%, Effects of Treatment on Immunophenotype, Signaling Profile, and Nuclear NF-kB Expression"
13,ATENOLOL,NCT00108082,The CLEVER Study - Coreg And Left Ventricular Mass Regression,"Hypertrophy, Left Ventricular","carvedilol MR, atenolol, lisinopril","Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed (LVMI) by Body Surface Area as Measured by Magnetic Resonance Imaging (MRI) at Month 12, Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed by Height (LVMIH) as Measured by MRI at Month 12, Model-adjusted Mean Change From Baseline in Left Ventricular (LV) Mass as Measured by MRI at Month 12, Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed (LVMI) by Body Surface Area as Measured by Echocardiography at Month 12, Model-adjusted Mean Change From Baseline in Left Ventricular Mass Indexed by Height (LVMIH) as Measured by Echocardiography at Month 12, Model-adjusted Mean Change From Baseline in LV Mass as Measured by Echocardiography at Month 12, Mean Change From Baseline in LV Filling Parameters as Measured by MRI at Month 12, Model-adjusted Mean Change From Baseline in LV End Systolic and Diastolic Volumes and Ejection Fraction as Measured by MRI at Month 12, Model-adjusted Mean Change From Baseline in LV End Systolic and Diastolic Volumes and Ejection Fraction as Measured by Echocardiography at Month 12, Model-adjusted Mean Change From Baseline in Systolic and Diastolic Blood Pressure (BP) at Month 12, Model-adjusted Ratio to Baseline as Percentage Change From Baseline in Log Transformed B-type Natriuretic Peptide (BNP) at Month 12, Model-adjusted Ratio to Baseline as Percentage Change From Baseline in Log Transformed C-Reactive Protein (CRP) at Month 12, Percentage Change From Baseline in Log Transformed Lipid Parameters at Month 12, Model-adjusted Ratio to Baseline as Percentage Change From Baseline in Log Transformed Albumin Creatinine Ratio (ACR) at Month 12"
14,CLORTALIDONA,NCT00591773,Efficacy and Safety of Azilsartan Medoxomil Co-Administered With Chlorthalidone in Participants With Essential Hypertension,Hypertension,"Azilsartan medoxomil and chlorthalidone, Azilsartan medoxomil and chlorthalidone, Chlorthalidone","Change From Baseline in the 24-hour Mean Systolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Change From Baseline in Mean Trough Clinic Sitting Systolic Blood Pressure., Change From Baseline in the 24-hour Mean Diastolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Change From Baseline in Mean Trough Clinic Sitting Diastolic Blood Pressure., Change From Baseline in Daytime (6am to 10 pm) Mean Systolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Change From Baseline in Daytime (6am to 10 pm) Mean Diastolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Change From Baseline in the Nighttime (12 am to 6 am) Mean Systolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Change From Baseline in the Nighttime (12 am to 6 am) Mean Diastolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Change From Baseline in the 12-hour Mean Systolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Change From Baseline in the 12-hour Mean Diastolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Change From Baseline in the Trough (22-24-hr) Mean Systolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Change From Baseline in the Trough (22-24-hr) Mean Diastolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring., Percentage of Participants Who Achieve a Clinic Systolic Blood Pressure Response, Defined as < 140 mm Hg and/or Reduction From Baseline ≥ 20 mm Hg, Percentage of Participants Who Achieve a Clinic Diastolic Blood Pressure Response, Defined as < 90 mm Hg and/or Reduction From Baseline ≥ 10 mm Hg, Percentage of Participants Who Achieve Both a Clinic Diastolic and Systolic Blood Pressure Response."
14,CLORTALIDONA,NCT01750294,A Pilot Study of Chlorthalidone Among Patients With Poorly Controlled Hypertension and CKD,"Chronic Kidney Disease, Poorly-Controlled Hypertension",Chlorthalidone,Change of Systolic Ambulatory Blood Pressure From Baseline to 12 Weeks
14,CLORTALIDONA,NCT02236520,Tissue Sodium in Pre-hypertensive Patients,Hypertension,"Spironolactone, Chlorthalidone, Diet, Placebo",Change in Tissue Sodium Concentration Measured Using Sodium Magnetic Resonance Imaging (NaMRI)
14,CLORTALIDONA,NCT00000620,Action to Control Cardiovascular Risk in Diabetes (ACCORD),"Atherosclerosis, Cardiovascular Diseases, Hypercholesterolemia, Hypertension, Diabetes Mellitus, Type 2, Diabetes Mellitus, Coronary Disease","Anti-hyperglycemic Agents, Anti-hypertensive Agents, Blinded fenofibrate or placebo plus simvastatin","First Occurrence of a Major Cardiovascular Event (MCE); Specifically Nonfatal Heart Attack, Nonfatal Stroke, or Cardiovascular Death (Measured Throughout the Study) in the Glycemia Trial., Death From Any Cause in the Glycemia Trial., First Occurrence of Major Cardiovascular Event (MCE) in the Blood Pressure Trial., Stroke in the Blood Pressure Trial., First Occurrence of Major Cardiovascular Event (MCE) in the Lipid Trial., First Occurrence of MCE or Revascularization or Hospitalization for Congestive Heart Failure (CHF) in Lipid Trial."
15,CLORIDRATO DE DULOXETINA,NCT00114127,Duloxetine for Social Anxiety Disorder: Prediction of Long Term Outcome,Anxiety Disorder,"Duloxetine, Duloxetine, Placebo","Anxiety Symptoms as Assessed by Liebowitz Social Anxiety Scale, CGI-S"
15,CLORIDRATO DE DULOXETINA,NCT01846182,Research Examining Gulf War Illness in Our Nations Service Members,Gulf War Illness,"Duloxetine, Pregabalin, Placebo","Pain by Likert Scale, Side Effects, Multiple and Unreliable"
20,ACETATO DE RACEALFATOCOFEROL,NCT00235716,"A Randomized, Clinical Trial of Vitamin E and Memantine in Alzheimer's Disease",Alzheimer's Disease,"dl-alpha-tocopherol, Memantine, dl-alpha-tocopherol, Memantine, Placebo","Alzheimer's Disease Cooperative Study/Activities of Daily Living (ADCS/ADL) Inventory Change From Baseline, Dependence Scale: Time to Event Analysis (Increase of of One Dependence Level), Mini-Mental State Examination Change From Baseline, Alzheimer's Disease Assessment Scale - Cognitive (ADAS-cog) Change From Baseline, Neuropsychiatric Inventory Change From Baseline, Caregiver Activity Survey Change From Baseline, All-cause Mortality"
20,ACETATO DE RACEALFATOCOFEROL,NCT03738241,2017 A/H7N9 IIV Revaccination,"Avian Influenza, Influenza Immunisation","A/H7N9, AS03, Phosphate Buffered Saline (PBS) diluent","Geometric Mean Titers (GMT) of Serum Hemagglutination Inhibition (HAI) Antibodies on Day 22 Against the 2017 Influenza A/H7N9 Vaccine Virus, Geometric Mean Titers (GMT) of Serum Neutralizing (Neut) Antibodies on Day 22 Against the 2017 Influenza A/H7N9 Vaccine Virus, Number of Participants Reporting Serious Adverse Events (SAEs), Number of Participants Reporting Clinical Safety Laboratory Adverse Events (AEs), Number of Participants Reporting Solicited Injection Site Reactogenicity Events, Number of Participants Reporting Solicited Systemic Reactogenicity Events, Percentage of Participants Achieving Hemagglutination Inhibition (HAI) Antibody Titer of 1:40 or Greater on Day 22 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Neutralizing (Neut) Antibody Titer of 1:40 or Greater on Day 22 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Hemagglutination Inhibition (HAI) Antibody Seroconversion on Day 22 Against the 2017 Influenza A/H7N9 Study Vaccine Virus, Percentage of Participants Achieving Neutralizing (Neut) Antibody Seroconversion on Day 22 Against the 2017 Influenza A/H7N9 Study Vaccine Virus, Geometric Mean Titers (GMT) of Serum Hemagglutination Inhibition (HAI) Antibodies on Day 8 Against the 2017 Influenza A/ H7N9 Vaccine Virus, Geometric Mean Titers (GMT) of Serum Hemagglutination Inhibition (HAI) Antibodies on Day 181 Against the 2017 Influenza A/ H7N9 Vaccine Virus, Geometric Mean Titers (GMT) of Serum Neutralizing (Neut) Antibodies on Day 8 Against the 2017 Influenza A/H7N9 Vaccine Virus, Geometric Mean Titers (GMT) of Serum Neutralizing (Neut) Antibodies on Day 181 Against the 2017 Influenza A/H7N9 Vaccine Virus, Geometric Mean Titers (GMTs) of Serum Hemagglutination Inhibition (HAI) Antibodies on Day 22 Against the 2013 Influenza A/H7N9 Vaccine Virus (Priming Vaccine Virus), Geometric Mean Titers (GMTs) of Serum Neutralizing (Neut) Antibodies on Day 22 Against the 2013 Influenza A/H7N9 Vaccine Virus (Priming Vaccine Virus), Number of Participants Reporting Medically-Attended Adverse Events (MAAEs), New-Onset Chronic Medical Conditions (NOCMCs), and Potentially Immune-Mediated Medical Conditions (PIMMCs), Number of Participants Reporting Unsolicited Non-serious AEs, Percentage of Participants Achieving Hemagglutination Inhibition (HAI) Antibody Titer of 1:40 or Greater on Day 8 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Hemagglutination Inhibition (HAI) Antibody Titer of 1:40 or Greater on Day 181 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Neutralizing (Neut) Antibody Titer of 1:40 or Greater on Day 8 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Neutralizing (Neut) Antibody Titer of 1:40 or Greater on Day 181 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Hemagglutination Inhibition (HAI) Antibody Seroconversion on Day 8 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Hemagglutination Inhibition (HAI) Antibody Seroconversion on Day 181 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Neutralizing (Neut) Antibody Seroconversion on Day 8 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Neutralizing (Neut) Antibody Seroconversion on Day 181 Against the 2017 Influenza A/H7N9 Vaccine Virus, Percentage of Participants Achieving Hemagglutination Inhibition (HAI) Antibody Titer of 1:40 or Greater on Day 22 Against the 2013 Influenza A/H7N9 Vaccine Virus (Priming Vaccine Virus), Percentage of Participants Achieving Neutralizing (Neut) Antibody Titer of 1:40 or Greater on Day 22 Against the 2013 Influenza A/H7N9 Vaccine Virus (Priming Vaccine Virus), Percentage of Participants Achieving Hemagglutination Inhibition (HAI) Antibody Seroconversion on Day 22 Against the 2013 Influenza A/H7N9 Vaccine Virus (Priming Vaccine Virus), Percentage of Participants Achieving Neutralizing (Neut) Antibody Seroconversion on Day 22 Against the 2013 Influenza A/H7N9 Vaccine Virus (Priming Vaccine Virus)"
21,BETACAROTENO,NCT00858273,Glutathione Metabolism in Adolescents With Type 1 Diabetes - Study B,"Diabetes Mellitus, Type 1","Antioxidant supplement, Diabetes treatment, Regular Insulin","Glutathione Concentration, Plasma Protein Bound 3-nitrotyrosine"
21,BETACAROTENO,NCT00198822,Impact of Maternal Vitamin A or Beta-Carotene Supplementation on Maternal and Infant Mortality in Bangladesh,"Vitamin A Deficiency, Maternal Mortality, Infant Mortality",Vitamin A or Beta-Carotene Supplements,"All-cause 3-month Infant Mortality, Maternal Morbidity, Including Obstetric Complications, Gestational Age at Birth, Fetal Growth and Postnatal Infant Growth Through Three Months of Age, Infant Morbidity Through 3 Months of Age, Plasma Beta-carotene in the Third Trimester of Pregnancy(Nutritonal Status of the Mother), All-cause, Pregnancy-related Mortality, Plasma Retinol at the Third Trimester of Pregnancy (Nutritional Status of the Mother)"
29,PERÓXIDO DE URÉIA,NCT02611882,Evaluation of Gallium-68-HBED-CC-PSMA Imaging in Prostate Cancer Patients,Prostate Cancer,"Ga-68 labeled HBED-CC PSMA, Positron Emission Tomography (PET) image combined with Computed Tomography (CT) (PET/CT), Positron Emission Tomography (PET) image combined with Magnetic Resonance Imaging (MRI) (PET/MRI)","Sensitivity of Ga-68 HBED-CC PSMA for Detection of Nodal Metastases, Specificity of Ga-68 HBED-CC PSMA for Detection of Nodal Metastasis, Positive Predictive Value (PPV) of Ga-68 HBED-CC PSMA for Detection of Nodal Metastasis, Negative Predictive Value (NPV) of Ga-68 HBED-CC PSMA for Detection of Nodal Metastasis, Overall Detection Rates of Ga68-PSMA-11 by PSA Levels for the BCR Group, Number of Patients in Biochemical Recurrence (BCR) Group Who Had a Reported Change in Medical Management"
29,PERÓXIDO DE URÉIA,NCT01948427,Observational Study That Will Collect Information on Patients With Urea Cycle Disorders (UCDs),Urea Cycle Disorder,,"Mean Blood Ammonia Levels Over Time, by Last Known Ammonia-Scavenging Medication, Median Blood Ammonia Levels Over Time, by Last-Known Ammonia-Scavenging Medication, Percentage of Participants With Hyperammonemic Crisis (HAC) by Baseline Ammonia-Scavenging Medication, Retrospective Values, Percentage of Participants With Hyperammonemic Crisis (HAC), Post-Baseline by Last Known Ammonia-Scavenging Medication, Number of Participants With Serious Adverse Events (SAEs)"
31,PERINDOPRIL ARGININA,NCT01118520,AARDVARK (Aortic Aneurysmal Regression of Dilation: Value of ACE-Inhibition on RisK),Abdominal Aortic Aneurysm,"perindopril arginine, amlodipine 5mgs, placebo","Change in the Growth Rate of Abdominal Aortic Aneurysm, Number of Participants With Aneurysm Related Death"
31,PERINDOPRIL ARGININA,NCT03722524,The Use of TrIple Fixed-dose Combination in the Treatment of Arterial Hypertension,Arterial Hypertension,amlodipine / indapamide / perindopril arginine FDC,"The Mean Systolic BP Changes (mm Hg) at the Visit 4 vs. Baseline, The Mean Diastolic BP Changes (mm Hg) at the Visit 4 vs Baseline., Percentage of Patients Who Achieved the Target Office BP Levels (SBP <140 mm Hg and DBP <90 mm Hg) at Visit 4 vs Baseline, The Mean Standardized Score of the Physical Component of the Quality of Life Questionnaire The Short Form (36) Health Survey at Visit 4 vs Baseline, The Mean Standardized Score of the Mental Component of the Quality of Life Questionnaire The Short Form (36) Health Survey at Visit 4 vs Baseline"
32,BESILATO DE ANLODIPINO,NCT01118520,AARDVARK (Aortic Aneurysmal Regression of Dilation: Value of ACE-Inhibition on RisK),Abdominal Aortic Aneurysm,"perindopril arginine, amlodipine 5mgs, placebo","Change in the Growth Rate of Abdominal Aortic Aneurysm, Number of Participants With Aneurysm Related Death"
32,BESILATO DE ANLODIPINO,NCT01222520,Telmisartan 80mg Non-responder Trial,Hypertension,"Telmisartan and amlodipine, Telmisartan","Reduction From the Reference Baseline in Mean Seated Diastolic Blood Pressure (DBP) at Trough, Reduction From the Reference Baseline in Mean Seated Systolic Blood Pressure (SBP) at Trough, Seated DBP Control Rate at Trough, Seated SBP Control Rate at Trough, Seated DBP Response Rate at Trough, Seated SBP Response Rate at Trough, Seated Blood Pressure (BP) Normalisation at Trough"
32,BESILATO DE ANLODIPINO,NCT00425373,Efficacy and Safety of Valsartan and Amlodipine in Patients With Essential Hypertension,Essential Hypertension,"Valsartan + amlodipine 40/2.5 mg, Valsartan + amlodipine 40/5 mg, Valsartan + amlodipine 80/2.5 mg, Valsartan + amlodipine 80/5 mg, Valsartan 40 mg, Valsartan 80 mg, Amlodipine 2.5 mg, Amlodipine 5 mg, Placebo","Change in Mean Sitting Diastolic Blood Pressure (MSDBP) From Baseline to End of Study (Week 8), Change in Mean Sitting Systolic Blood Pressure (MSSBP) From Baseline to End of Study (Week 8), Percentage of Patients Achieving MSDBP < 90 mmHg or a => 10 mm Hg Decrease Compared to Baseline at the End of the Study (Week 8), Percentage of Patients Achieving MSDBP < 90mmHg at the End of the Study (Week 8), Percentage of Patients Achieving MSDBP < 90 mm Hg and MSSBP < 140 mm Hg at the End of the Study (Week 8)"
33,CLORIDRATO DE TIAMINA,NCT03550794,Thiamine as a Renal Protective Agent in Septic Shock,"Sepsis, Kidney Injury, Thiamine Deficiency","Thiamine Hydrochloride, Placebo","Kidney Injury Biomarker, Number of Participants Receiving Renal Replacement Therapy, ICU Free Days, In-hospital Mortality, Number of Participants Experiences Acute Renal Failure, Change in Lactate Level, Number of Participants With Delirium on Day 3, Change in the Sequential Organ Failure Assessment Score, Novel Biomarkers of Renal Injury"
33,CLORIDRATO DE TIAMINA,NCT05157360,HAT for the Treatment of Sepsis Associated With NASTI,"Necrotizing Soft Tissue Infection, Sepsis","HAT, Placebo","Hospital Survival, Duration of Vasopressor Therapy, Requirement for Renal Replacement Therapy in Patients With Acute Kidney Injury (AKI), ICU Length of Stay (LOS), Change in Serum Procalcitonin (PCT) Over First 72 Hours, Change in Sequential Organ Failure Assessment (SOFA) Score Over First 72 Hours (Measured as SOFA Score Daily for Four Days, With Day One Being Admission, Then 3 Days After, Totaling 4 Days of Treatment With HAT), Procalcitonin Clearance, Number of Wound Related Surgeries, Wound Status at Time of Hospital Discharge: Open"
35,ETINILESTRADIOL,NCT00924560,A Multicenter Study to Evaluate the Effects of a 91-day Oral Contraceptive on Bone Mineral Density in Adolescent Females,Bone Mineral Density,"91-day Levonorgestrel Oral Contraceptive, 28-day Levonorgestrel Oral Contraceptive","Percent Change From Baseline to 12 Months in Lumbar Spine Bone Mineral Density (BMD), Change From Baseline in Lumbar Spine Bone Mineral Density, Change From Baseline in Lumbar Spine Bone Mineral Content (BMC), Change From Baseline in Proximal Femur Bone Mineral Density, Change From Baseline in Proximal Femur Bone Mineral Content (BMC), Change From Baseline in Total Body Bone Mineral Density, Change From Baseline in Total Body Bone Mineral Content (BMC), Change From Baseline in Bone-specific Alkaline Phosphatase, Change From Baseline in Serum Deoxypyridinoline, Change From Baseline in Serum Osteocalcin, Change From Baseline in Serum Procollagen 1 N-terminal Propeptide, Change From Baseline in Serum Type I Collagen N-telopeptide, Number of Participants With Adverse Events (AEs)"
35,ETINILESTRADIOL,NCT00544882,A Study to Evaluate Hormone Patterns and Ovarian Follicular Activity With DR-1021,Healthy,"DR-1021, Mircette®, Kariva®","Serum Estradiol Levels by Cycle Day, Percentage of Follicles Greater Than 5 mm in Diameter, Serum Follicle Stimulating Hormone (FSH) Levels by Cycle Day, Serum Inhibin-B Levels by Cycle Day, Change From Cycle 2 Days 1 - 20 to Cycle 2 Days 21 - 28 in Maximum Follicle Size, Number of Days of Bleeding or Spotting During Unscheduled and Scheduled Study Periods, Percentage of Participants With Bleeding or Spotting During Unscheduled and Scheduled Study Periods, Number of Days of Bleeding During Unscheduled and Scheduled Study Periods, Percentage of Participants With Bleeding During Unscheduled and Scheduled Study Periods"
35,ETINILESTRADIOL,NCT01466673,An Efficacy and Safety Study Comparing Oral Contraceptive Containing Norgestimate or Desogestrel for Acne Treatment,Acne Vulgaris,"Ethinyl estradiol/Norgestimate (EE/NGM), Ethinyl estradiol/Desogestrel (EE/DSG)","Change From Baseline in Total and Each Type of Acne Lesions Count at Month 1, Change From Baseline in Total and Each Type of Acne Lesions Count at Month 3, Change From Baseline in Total and Each Type of Acne Lesions Count at Month 6, Number of Participants With Abnormal Vaginal Blood Loss at Month 1, 3 and 6, Number of Participants Non-Compliant With Therapy, Percentage of Participants With Categorical Score for Sebum Assessment at Month 1, 3 and 6, Percentage of Participants Showing Treatment Response on the Investigator's Global Assessment at Month 6, Number of Participants With Treatment Response at the End-of-Therapy by Participant's Self-Assessment at Month 6, Change From Baseline in Blood Pressure (BP) at Month 6, Change From Baseline in Body Weight at Month 6"
38,SULFATO DE NEOMICINA,NCT02730962,Interventional Bioremediation of Microbiota in Metabolic Syndrome,Pre-Diabetes,"Vancomycin, Placebo, Neomycin, Clindamycin, Fecal Microbiota Transplantation","Insulin Sensitivity, Microbiome Composition, Changes in Fecal Bacterial Composition Associated With FMT Overall Antibiotic and Placebo Conditioning Groups) by Laboratory Analysis., Adverse Event Rates"
38,SULFATO DE NEOMICINA,NCT01638429,Role of Methane in Glycemic Control,"Diabetes, Obesity","Neomycin, Rifaximin","Number of Subjects Who Eradicated Methane on Breath Test, Stool Methanogen Levels, Stool Total Bacteria Levels, Low Density Lipoprotein (LDL) Levels Before and After Antibiotic Therapy, Total Cholesterol Levels Before and After Antibiotic Therapy, Average Daily Caloric Loss in Stool, Gastric Emptying, Bowel Symptoms - Bloating, Bowel Symptoms - Abdominal Pain, Bowel Symptoms - Constipation, Bowel Symptoms - Diarrhea, Bowel Symptoms - Straining, % Stool Dry Weight"
