Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
ENHERTU;DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA;60.874.187/0001-84;1187987255;08/09/2025;TODAS
rivaroxabana;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0648876250;14/05/2025;TODAS
ESPASMO DIMETILIV;EMS S/A;57.507.378/0003-65;2704843210;12/07/2021;TODAS
MOVYDIA;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;0287788253;28/02/2025;TODAS
NORVASC;VIATRIS FARMACEUTICA DO BRASIL LTDA;11.643.096/0001-22;0514805251;15/04/2025;TODAS
furoato de mometasona;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0925889253;16/07/2025;TODAS
AMVUTTRA;SPECIALTY PHARMA GOIAS LTDA;31.731.807/0001-28;0455510253;03/04/2025;TODAS
ZISQUE;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0017028256;07/01/2025;TODAS
cetoprofeno;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;0053248252;14/01/2025;TODAS
BIPHOZYL;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;0470111241;12/04/2024;TODAS
CIPROFIBRATO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1200943236;01/11/2023;TODAS
Amoxicilina + clavulanato de Potássio;CELLERA FARMACÊUTICA S.A.;33.173.097/0002-74;0226036243;26/02/2024;TODAS
ceftriaxona dissódica;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1153797259;28/08/2025;TODAS
BICERTO;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0835901246;19/06/2024;TODAS
Besponsa;PFIZER BRASIL LTDA;61.072.393/0001-33;1107850240;13/08/2024;TODAS
MIBI-TEC;COMISSAO NACIONAL DE ENERGIA NUCLEAR;00.402.552/0001-26;1253085234;13/11/2023;TODAS
Tegsedi;PTC FARMACEUTICA DO BRASIL LTDA.;25.210.463/0001-09;0952693241;12/07/2024;TODAS
PRIMACOR;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1073220257;14/08/2025;TODAS
cloridrato de clomipramina;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;1608287217;27/04/2021;TODAS
CAPRELSA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1163509256;01/09/2025;TODAS
ROTEAS;DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA;60.874.187/0001-84;0719366241;29/05/2024;TODAS
cloridrato de venlafaxina;EMS S/A;57.507.378/0003-65;0039816257;10/01/2025;TODAS
SKYRIZI;ABBVIE FARMACÊUTICA LTDA.;15.800.545/0001-50;0990953254;31/07/2025;TODAS
hemitartarato de zolpidem;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0231403259;18/02/2025;TODAS
CARISOPRODOL + DICLOFENACO DE SÓDIO + PARACETAMOL+ CAFEÍNA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1155232241;22/08/2024;TODAS
PROEXTY;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4263412214;28/10/2021;TODAS
levetiracetam;TORRENT DO BRASIL LTDA;33.078.528/0001-32;1308913249;24/09/2024;TODAS
DENGVAXIA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;5087796222;22/12/2022;TODAS
NEBIPRE;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1119649234;18/10/2023;TODAS
SINVASTATINA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0474759193;28/05/2019;TODAS
Waryz;CIMED INDUSTRIA S.A;02.814.497/0001-07;1168929253;02/09/2025;TODAS
CALT;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0774484250;09/06/2025;TODAS
bromazepam;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0455440255;03/04/2025;TODAS
MIRTAZAPINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1200142250;10/09/2025;TODAS
voriconazol;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;03.978.166/0001-75;1132641250;22/08/2025;TODAS
brometo de ipratrópio;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0343719258;13/03/2025;TODAS
amoxicilina triidratada;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;3721436211;20/09/2021;TODAS
ZINA ODT;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0207683247;22/02/2024;TODAS
FOSMORYL;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;25.773.037/0001-83;0787331252;11/06/2025;TODAS
furosemida;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1527154246;06/11/2024;TODAS
TOLREST;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0257884254;24/02/2025;TODAS
dutasterida;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0383102251;21/03/2025;TODAS
COALY;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1138061255;25/08/2025;TODAS
OKÓTICO;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;0775106259;09/06/2025;TODAS
B-TABLOCK;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1591294240;21/11/2024;TODAS
tacrolimo;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1201512255;10/09/2025;TODAS
diclofenaco sódico;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1110535252;18/08/2025;TODAS
succinato de desvenlafaxina monoidratado;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1230007237;08/11/2023;TODAS
Teriflunomida;NATCOFARMA DO BRASIL LTDA;08.157.293/0001-27;1479508233;28/12/2023;TODAS
ticagrelor;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1138082252;25/08/2025;TODAS
CEFTFENPRO LP;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0053133251;14/01/2025;TODAS
NEPRAZOL;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;7679308217;17/12/2021;TODAS
ceftriaxona dissódica hemieptaidratada;ANTIBIÓTICOS DO BRASIL LTDA;05.439.635/0001-03;0142754242;06/02/2024;TODAS
KIENDRA;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;1709760249;13/12/2024;TODAS
