Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
LACRILAX;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;4666509216;26/11/2021;TODAS
GENFIBROZILA;EMS S/A;57.507.378/0003-65;1734513241;19/12/2024;TODAS
SUCCINATO SODICO DE HIDROCORTISONA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0996020233;19/09/2023;TODAS
OXALATO DE ESCITALOPRAM;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0648697258;14/05/2025;TODAS
FENOSUPREX;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0834938251;25/06/2025;TODAS
VIDMAX;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0218887230;06/03/2023;TODAS
LFM ZIPRASIDONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;2548887162;01/12/2016;TODAS
LEXAPRASS;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0711172234;11/07/2023;TODAS
NEVANAC;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0805015256;16/06/2025;TODAS
HIDROCLOROTIAZIDA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;0128625252;29/01/2025;TODAS
GINKOTAB;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0134324186;21/02/2018;TODAS
ARISTOPRAMIDA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;3192087190;19/11/2019;TODAS
acetilcisteína;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;0307359247;13/03/2024;TODAS
TRAVATAN;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0484444247;17/04/2024;TODAS
FILINAR G;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0781083257;10/06/2025;TODAS
OXALATO DE ESCITALOPRAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0720526230;13/07/2023;TODAS
TENOXICAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0684978253;21/05/2025;TODAS
CLORIDRATO DE METOCLOPRAMIDA;CIMED INDUSTRIA S.A;02.814.497/0001-07;2477480227;20/04/2022;TODAS
FUNED DONEPEZILA;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;2445168161;01/11/2016;TODAS
ANDROGEL;Besins Healthcare Brasil Comercial e Distribuidora de Medicamentos Ltda;11.082.598/0003-93;1006700251;05/08/2025;TODAS
FURP-GLIBENCLAMIDA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;0349163251;14/03/2025;TODAS
sulfametoxazol+trimetoprima;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1318284244;25/09/2024;TODAS
hemifumarato de quetiapina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1001230256;04/08/2025;TODAS
OLANZAPINA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;2499163195;15/10/2019;TODAS
maleato de dexclorfeniramina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0133860189;21/02/2018;TODAS
CANDESARTANA CILEXETILA;EMS S/A;57.507.378/0003-65;0618384251;07/05/2025;TODAS
NOTUSS TSS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0405477252;25/03/2025;TODAS
DONILA DUO;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0247154229;19/01/2022;TODAS
ONICORYL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0240233255;20/02/2025;TODAS
CIS;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0960748229;09/03/2022;TODAS
ESALERG;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1016501251;07/08/2025;TODAS
PERMETRINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;0514965258;15/04/2025;TODAS
VIKATRON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0925095186;24/09/2018;TODAS
DICLOFENACO SÓDICO;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;4395147224;07/07/2022;TODAS
PLENANCE;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1170716253;02/09/2025;TODAS
MESILATO DE IMATINIBE;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;0195922255;12/02/2025;TODAS
TIOCOLCHICOSÍDEO;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0156591251;04/02/2025;TODAS
VESOMNI;ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.;07.768.134/0001-04;0900984236;25/08/2023;TODAS
ARISCORTEN;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1201884233;01/11/2023;TODAS
METAXON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1024414248;26/07/2024;TODAS
VANCOSON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0473141256;07/04/2025;TODAS
ESTRADIOL+ACETATO DE NORETISTERONA;EMS S/A;57.507.378/0003-65;1271248165;16/02/2016;TODAS
MICOFENOLATO DE SÓDIO;EMS S/A;57.507.378/0003-65;0834591251;25/06/2025;TODAS
GENGIMIN;FARMOQUÍMICA S/A;33.349.473/0001-58;0102514241;26/01/2024;TODAS
OESTROGEL;Besins Healthcare Brasil Comercial e Distribuidora de Medicamentos Ltda;11.082.598/0003-93;1149793252;27/08/2025;TODAS
OPRAZON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1076470238;09/10/2023;TODAS
CLORIDRATO DE ZIPRASIDONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;1523451246;05/11/2024;TODAS
RINGER;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;2493003202;29/07/2020;TODAS
ATORVASTATINA CÁLCICA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1058061181;05/11/2018;TODAS
candesartana cilexetila + hidroclorotiazida;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0792537254;12/06/2025;TODAS
LANSOPRAZOL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1736111248;19/12/2024;TODAS
DUOMO HP;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0942077253;21/07/2025;TODAS
ALENDRONATO DE SÓDIO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1372370234;04/12/2023;TODAS
CEFARISTON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;3191265196;19/11/2019;TODAS
TISSEEL;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;1230775242;06/09/2024;TODAS
CLORIDRATO DE HIDROXIZINA;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;02.501.297/0001-02;0793945259;12/06/2025;TODAS
TIVICAY;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;0452108250;02/04/2025;TODAS
FURP-DIAZEPAM;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;0018913237;09/01/2023;TODAS
HERZUMA;CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA;05.452.889/0001-61;1605933244;25/11/2024;TODAS
LONQUEX;TEVA FARMACÊUTICA LTDA.;05.333.542/0001-08;0127572252;29/01/2025;TODAS
TEICOSTON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0431266247;05/04/2024;TODAS
HOLMES H;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0910294259;11/07/2025;TODAS
CLORIDRATO DE MEMANTINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0662349253;16/05/2025;TODAS
OLMECOR;TORRENT DO BRASIL LTDA;33.078.528/0001-32;1086391250;15/08/2025;TODAS
OMEPRAZOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1389479242;09/10/2024;TODAS
LAMEZ;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;0090754195;30/01/2019;TODAS
MEPICAIN 3%;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0753364255;04/06/2025;TODAS
Simponi;JANSSEN-CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;0869069250;02/07/2025;TODAS
LIPIDIL;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;0035244259;10/01/2025;TODAS
CELECOXIBE;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0516716255;15/04/2025;TODAS
PREDNISONA;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;0247854194;19/03/2019;TODAS
TAMIRAM;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0329167251;11/03/2025;TODAS
LEFLUNOMIDA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;0792547250;12/06/2025;TODAS
CARBAMAZEPINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;0372658154;29/04/2015;TODAS
ESPINHEIRA SANTA NATULAB;NATULAB LABORATORIO S.A;02.456.955/0001-83;4754483227;28/09/2022;TODAS
BENEROC;BAYER S.A.;18.459.628/0001-15;1176855247;27/08/2024;TODAS
ADDERA D3;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;5101820229;28/12/2022;TODAS
PREGABALINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0593191251;02/05/2025;TODAS
GINKGO VITAL;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;2910801202;28/08/2020;TODAS
NEUROCONTROL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1456840231;21/12/2023;TODAS
TRIMEB;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0579145239;06/06/2023;TODAS
DOPABANE;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1174188251;03/09/2025;TODAS
AMLODIL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1445559242;21/10/2024;TODAS
maleato de trimebutina;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;0231099258;18/02/2025;TODAS
CEFTAZIDON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0182576230;23/02/2023;TODAS
CLORIDRATO DE ZIPRASIDONA;EMS S/A;57.507.378/0003-65;0640599257;12/05/2025;TODAS
ácido tranexâmico;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0741926245;04/06/2024;TODAS
ADIPEPT;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1020349255;08/08/2025;TODAS
MYCOSODIUM;EMS S/A;57.507.378/0003-65;0834740257;25/06/2025;TODAS
BROMOPRIDA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;4270122208;03/12/2020;TODAS
CLORIDRATO DE SERTRALINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;2324905196;03/10/2019;TODAS
PENKARON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0147188171;27/01/2017;TODAS
OXALATO DE ESCITALOPRAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0720454239;13/07/2023;TODAS
PARACETAMOL + FOSFATO DE CODEÍNA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1429703245;17/10/2024;TODAS
risperidona;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;0379046253;20/03/2025;TODAS
GABAPENTINA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;0482548258;08/04/2025;TODAS
TIMONEO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0732400156;18/08/2015;TODAS
ACECLO-GRAN;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1387942239;06/12/2023;TODAS
CILINON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2371162191;07/10/2019;TODAS
ARIFENICOL;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0593758172;11/04/2017;TODAS
BROMETO DE PINAVERIO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;2437053212;23/06/2021;TODAS
IRBESARTANA+ HIDROCLOROTIAZIDA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0940143259;21/07/2025;TODAS
PELLETRAT;LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;83.874.628/0001-43;1623004213;28/04/2021;TODAS
CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;4681397229;13/09/2022;TODAS
VIMIZIM;BIOMARIN BRASIL FARMACÊUTICA LTDA;08.002.360/0001-34;0834326256;25/06/2025;TODAS
TREBYXAN;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;61.282.661/0001-41;0247634255;21/02/2025;TODAS
VELIJA;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0840427255;26/06/2025;TODAS
GINNA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0949771236;06/09/2023;TODAS
CLOTRIMAZOL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;2504945163;18/11/2016;TODAS
ALCACHOFRA NATULAB;NATULAB LABORATORIO S.A;02.456.955/0001-83;0228491223;18/01/2022;TODAS
SANDOGLOBULINA;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;1313313246;24/09/2024;TODAS
Amoxicilina;CIMED INDUSTRIA S.A;02.814.497/0001-07;1118916255;19/08/2025;TODAS
COLCHICINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1771493241;30/12/2024;TODAS
EPAPHYTO;NATULAB LABORATORIO S.A;02.456.955/0001-83;1479932221;01/04/2022;TODAS
LIVTÓS;VIDORA FARMACÊUTICA LTDA;92.762.277/0001-70;2333131217;16/06/2021;TODAS
EXFORGE HCT;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;1149756241;21/08/2024;TODAS
AGUA PARA INJETAVEIS;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0882163181;10/09/2018;TODAS
CANDESARTANA CILEXETILA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0601698258;05/05/2025;TODAS
CLORIDRATO DE TOPOTECANA;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;0626783211;16/02/2021;TODAS
VITARISTON C;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2563993165;06/12/2016;TODAS
CLINDARIX;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2075317199;29/08/2019;TODAS
SUCCITRAT;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0487895240;17/04/2024;TODAS
ATROPION;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0473746196;28/05/2019;TODAS
ESALERG GOTAS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0455680256;03/04/2025;TODAS
LINATRON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0667264207;05/03/2020;TODAS
TECFIDERA;BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA;07.986.222/0001-74;0829935258;24/06/2025;TODAS
CLAFORDIL;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0011497254;06/01/2025;TODAS
DOBUTARISTON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2031401169;05/07/2016;TODAS
MIRTAZAPINA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;0433970251;31/03/2025;TODAS
LABREA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0441420257;01/04/2025;TODAS
NEO FRESH;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0802898254;16/06/2025;TODAS
EXPECTOVIC;AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;01.858.973/0001-29;1424051223;28/03/2022;TODAS
DROSPIRENONA + ETINILESTRADIOL;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;1486841244;29/10/2024;TODAS
CLORIDRATO DE TRAMADOL;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;1750890241;23/12/2024;TODAS
SILIMALON;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0764694251;06/06/2025;TODAS
NACTALI;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0297546252;05/03/2025;TODAS
Loratadina;CIMED INDUSTRIA S.A;02.814.497/0001-07;0229047254;18/02/2025;TODAS
BROMETO DE PINAVÉRIO;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0772884251;09/06/2025;TODAS
KEPPRA;UCB BIOPHARMA LTDA.;64.711.500/0001-14;1077125259;14/08/2025;TODAS
ESC;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0128409240;01/02/2024;TODAS
RIBOMUSTIN;JANSSEN-CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;4339773221;24/06/2022;TODAS
citrato de fentanila;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0162051239;16/02/2023;TODAS
ALOXIDIL;THERASKIN FARMACEUTICA LTDA.;61.517.397/0001-88;1753757240;23/12/2024;TODAS
XTANDI;ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.;07.768.134/0001-04;1148051252;27/08/2025;TODAS
CLORIDRATO DE AMBROXOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0711241236;11/07/2023;TODAS
CLORIDRATO DE LINCOMICINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0336602182;27/04/2018;TODAS
Léptico;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1667098161;04/05/2016;TODAS
OSTEOTRAT;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;4447810212;10/11/2021;TODAS
TARTARATO DE BRIMONIDINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0813949254;18/06/2025;TODAS
PEPSOGEL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1546858245;11/11/2024;TODAS
BAC-SULFITRIN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0185383254;10/02/2025;TODAS
NITROFURANTOINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0615095259;07/05/2025;TODAS
SOL-CART B;LABORATORIOS B. BRAUN S/A;31.673.254/0001-02;0114355240;30/01/2024;TODAS
ESOMEPRAZOL SODICO;SUN FARMACÊUTICA DO BRASIL LTDA;05.035.244/0001-23;0311180221;24/01/2022;TODAS
IPSILON;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0468177248;12/04/2024;TODAS
Perjeta;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;33.009.945/0001-23;0530902249;23/04/2024;TODAS
BROMAZEPAM (PORTARIA 344/98 - LISTA B1);BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1158963254;29/08/2025;TODAS
ZITRONEO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;4360282222;29/06/2022;TODAS
STANGLIT;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0794359256;12/06/2025;TODAS
VISIPAQUE;GE HEALTHCARE DO BRASIL COMÉRCIO E SERVIÇOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;00.029.372/0001-40;1569307245;14/11/2024;TODAS
FURP-HIDROCLOROTIAZIDA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;0284693251;28/02/2025;TODAS
TRANSAMIN;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;1277973237;17/11/2023;TODAS
LANVIS;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;02.433.631/0001-20;0243329253;20/02/2025;TODAS
GINKOBA;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0808302256;17/06/2025;TODAS
cloridrato de propranolol;LABORATÓRIOS OSÓRIO DE MORAES LTDA;19.791.813/0001-75;0905790251;10/07/2025;TODAS
MASSAGEOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0558290213;11/02/2021;TODAS
MESALAZINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0976146240;17/07/2024;TODAS
ZEEL-ARTRO;HEEL DO BRASIL BIOMÉDICA LTDA;05.994.539/0001-27;1187422231;30/10/2023;TODAS
UTROGESTAN;Besins Healthcare Brasil Comercial e Distribuidora de Medicamentos Ltda;11.082.598/0003-93;0906640253;10/07/2025;TODAS
CILODEX;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0603177255;05/05/2025;TODAS
DOCLAXIN;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;3943865201;10/11/2020;TODAS
TOPOTACX;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;0870373216;05/03/2021;TODAS
BROMUC;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1418029246;16/10/2024;TODAS
ZICLAGUE;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A;08.939.548/0001-03;2609732160;03/01/2023;TODAS
LUR GOTAS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0192316231;27/02/2023;TODAS
diclofenaco dietilamônio;CIMED INDUSTRIA S.A;02.814.497/0001-07;0228529255;18/02/2025;TODAS
TACROZ;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;5017143220;05/12/2022;TODAS
CILOXAN;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0602439256;05/05/2025;TODAS
OXANON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1079797246;07/08/2024;TODAS
SONOVUE;Bracco Imaging do Brasil Importação e Distribuição de Medicamentos Ltda;10.742.412/0004-01;0844569259;27/06/2025;TODAS
ANIDULAFUNGINA;PFIZER BRASIL LTDA;61.072.393/0001-33;0884257240;28/06/2024;TODAS
CLORIDRATO DE DOBUTAMINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;2724946219;13/07/2021;TODAS
ERGOMETRIN;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;0719961220;25/02/2022;TODAS
VÊNULA;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;1058218255;13/08/2025;TODAS
GANCICLOTRAT;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;0274930226;21/01/2022;TODAS
DRAMAVIT B6;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0387281258;21/03/2025;TODAS
ACETATO DE CIPROTERONA+ETINILESTRADIOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;3581241218;10/09/2021;TODAS
JARDIANCE;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;60.831.658/0001-77;0194250253;11/02/2025;TODAS
Prebictal;ADIUM S.A.;55.980.684/0001-27;0553122240;26/04/2024;TODAS
STRIVERDI RESPIMAT;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;60.831.658/0001-77;0059618256;15/01/2025;TODAS
CLORIDRATO DE VANCOMICINA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0205226248;21/02/2024;TODAS
GLICONATO DE CALCIO;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0484386190;30/05/2019;TODAS
CEFOXITINA SÓDICA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0476058171;24/03/2017;TODAS
meropeném;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;0322265258;10/03/2025;TODAS
SENEFLORA;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;0362538219;28/01/2021;TODAS
BIMAGAN;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1197331247;30/08/2024;TODAS
TOBRADEX;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;1200054253;10/09/2025;TODAS
ALIVPRESS;CIMED INDUSTRIA S.A;02.814.497/0001-07;1968513191;12/08/2019;TODAS
LERGIDRIN;LABORATÓRIO GLOBO SA;17.115.437/0001-73;0793447259;12/06/2025;TODAS
CLIFEMIN;HERBARIUM LABORATORIO BOTANICO LTDA;78.950.011/0001-20;2871714215;23/07/2021;TODAS
TRAVOPROSTA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0776814231;26/07/2023;TODAS
bromidrato de citalopram;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0680489258;21/05/2025;TODAS
PEMTRYX;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;0971946216;12/03/2021;TODAS
cloridrato de memantina;UNICHEM FARMACÊUTICA DO BRASIL LTDA;05.399.786/0001-85;0672406250;19/05/2025;TODAS
Benegrip Multi;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0986450235;18/09/2023;TODAS
celecoxibe;EMS S/A;57.507.378/0003-65;0309796253;07/03/2025;TODAS
AZOPT;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;1638252246;29/11/2024;TODAS
DORIL ENXAQUECA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;4654898221;06/09/2022;TODAS
AZORGA;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0640491251;12/05/2025;TODAS
MARACUJÁ HERBARIUM;HERBARIUM LABORATORIO BOTANICO LTDA;78.950.011/0001-20;1187244252;08/09/2025;TODAS
GLIBENCLAMIDA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0362824258;18/03/2025;TODAS
MONTELUCASTE DE SODIO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0221196251;17/02/2025;TODAS
NAPRIX D;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0665689250;16/05/2025;TODAS
Bortezomibe;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;2468164211;25/06/2021;TODAS
