Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Data de Publicação (dt);Categoria
COARTEM;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;280220131;12/04/2013;2013-04-12;novo
Pomada de Erva de Bicho Adrenalina e Hamamélis Composta Imescard;LABORATÓRIOS OSÓRIO DE MORAES LTDA;19.791.813/0001-75;279414134;12/04/2013;2013-04-12;novo
ÁGUA PARA IRRIGAÇÃO;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;287844135;16/04/2013;2013-04-16;especifico
HISOCEL;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;288501138;16/04/2013;2013-04-16;especifico
VOLULYTE;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;288610133;16/04/2013;2013-04-16;especifico
ENEMAPLEX;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;288115132;16/04/2013;2013-04-16;especifico
ALPHACAINE;DFL INDÚSTRIA E COMÉRCIO S/A;33.112.665/0001-46;401837131;21/05/2013;2013-05-21;similar
REIDRAMAX;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;410199135;23/05/2013;2013-05-23;especifico
TRINIZOL-M;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;545435132;05/07/2013;2013-07-05;similar
SOLUGEL;LABORATÓRIOS STIEFEL LTDA;63.064.653/0001-54;579169133;17/07/2013;2013-07-17;novo
Dermovagin;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;780264131;16/09/2013;2013-09-16;similar
tinidazol + nitrato de miconazol;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;797164138;20/09/2013;2013-09-20;generico
FLUCONAZOL;ZYDUS NIKKHO FARMACÊUTICA LTDA;5254971000181;815162138;26/09/2013;2013-09-26;generico
STIEFCORTIL;LABORATÓRIOS STIEFEL LTDA;63.064.653/0001-54;906673130;29/10/2013;2013-10-29;similar
IQUEGO - DOXICICLINA;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;994505139;27/11/2013;2013-11-27;similar
EXELMIN;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;1052576139;13/12/2013;2013-12-13;similar
CEFALEXINA;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;1073454136;20/12/2013;2013-12-20;generico
BUTILBROMETO DE ESCOPOLAMINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1901141;02/01/2014;2014-01-02;generico
TIOCONAZOL;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;2514143;03/01/2014;2014-01-03;generico
POLIVITAMINAS + SAIS MINERAIS;LABORATÓRIO FARMACÊUTICO VITAMED LTDA;29.346.301/0001-53;43113143;20/01/2014;2014-01-20;especifico
DICLOFENACO POTASSICO;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;96380141;07/02/2014;2014-02-07;generico
AURIS-SEDINA;LABORATÓRIOS OSÓRIO DE MORAES LTDA;19.791.813/0001-75;192163141;17/03/2014;2014-03-17;novo
Aciclovir;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;209431142;21/03/2014;2014-03-21;generico
benzoilmetronidazol;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;230094140;27/03/2014;2014-03-27;generico
ANFUGINE;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;256675143;04/04/2014;2014-04-04;similar
ATENORESE;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;259488149;07/04/2014;2014-04-07;similar
PARACETAMOL;ZYDUS NIKKHO FARMACÊUTICA LTDA;5254971000181;277855146;11/04/2014;2014-04-11;generico
TESTE PUBLICACAO;EMPRESA DE TESTE LTDA. (VS01);33.683.202/0001-34;297832146;17/04/2014;2014-04-17;similar
HAAR INTERN;LABORATÓRIO FARMACÊUTICO VITAMED LTDA;29.346.301/0001-53;335222146;02/05/2014;2014-05-02;especifico
estolato de eritromicina;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;352930144;08/05/2014;2014-05-08;generico
FANCLOMAX;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;417082142;27/05/2014;2014-05-27;similar
STRESSAN;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;427840142;30/05/2014;2014-05-30;similar
FDC BETACAROTENO 15 MG;BIOWELL AMERICA LTDA;40.809.626/0001-68;437944146;03/06/2014;2014-06-03;especifico
ESTOLATO DE ERITROMICINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;468234143;12/06/2014;2014-06-12;generico
EACA BALSÂMICO;ZYDUS NIKKHO FARMACÊUTICA LTDA;5254971000181;503996147;26/06/2014;2014-06-26;novo
VACINA POLIOMIELITE 1, 2 E 3 (ATENUADA);FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;507514149;27/06/2014;2014-06-27;biologico
FLOGOLAB;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;513345149;30/06/2014;2014-06-30;similar
CONTHENC;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;513832149;01/07/2014;2014-07-01;especifico
FLUNEXIL;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;563058144;15/07/2014;2014-07-15;similar
NEXCARE;3M DO BRASIL LTDA;45.985.371/0001-08;576901149;18/07/2014;2014-07-18;novo
CICLOPIROX OLAMINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;582228149;21/07/2014;2014-07-21;generico
LOVELLE;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;582356141;21/07/2014;2014-07-21;similar
INTERFERON ALFA  2A HUMANO RECOMBINANTE;CHRON EPIGEN INDÚSTRIA E COMÉRCIO LTDA;4415365000138;608900143;28/07/2014;2014-07-28;biologico
nistatina + óxido de zinco;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;658265146;12/08/2014;2014-08-12;generico
ALBUMAX;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;668250142;14/08/2014;2014-08-14;similar
POLYDRAT;PHARMASCIENCE INDÚSTRIA FARMACÊUTICA LTDA;25.773.037/0001-83;682750141;19/08/2014;2014-08-19;similar
BIOFOR C;LABORATÓRIO FARMACÊUTICO VITAMED LTDA;29.346.301/0001-53;696944145;22/08/2014;2014-08-22;especifico
NITRATO DE OXICONAZOL;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;708234147;26/08/2014;2014-08-26;generico
PRATIGLÓS;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;716875146;28/08/2014;2014-08-28;especifico
NITRATO DE ISOCONAZOL;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;750775145;11/09/2014;2014-09-11;generico
PREDNISONA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;767358142;16/09/2014;2014-09-16;generico
CICLOPIROX OLAMINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;772793143;17/09/2014;2014-09-17;generico
PARACETAMOL;EMS S/A;57.507.378/0003-65;777572145;18/09/2014;2014-09-18;generico
VALERATO DE BETAMETASONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL;CIMED INDUSTRIA S.A;2814497000107;802905149;25/09/2014;2014-09-25;generico
MALEATO DE DEXCLORFENIRAMINA;UNITHER INDUSTRIA FARMACEUTICA LTDA.;4656253000179;806467149;26/09/2014;2014-09-26;generico
NIMESULIDA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;810910149;29/09/2014;2014-09-29;generico
COLPISTAR;FARMOQUÍMICA S/A;33.349.473/0001-58;816826141;01/10/2014;2014-10-01;similar
LEXIN;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;883791141;06/10/2014;2014-10-06;similar
BENZIDROL;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;910099147;10/10/2014;2014-10-10;similar
MEBENDAZOL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;920095149;14/10/2014;2014-10-14;generico
PIROXICAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;932059148;16/10/2014;2014-10-16;generico
CEBION GLICOSE;MERCK S/A;33.069.212/0001-84;934774147;17/10/2014;2014-10-17;especifico
LEVOFLOXACINO;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;964138146;27/10/2014;2014-10-27;generico
LIFALTACROLIMUS;LAB INDL FTCO ALAGOAS SA - LIFAL;12.343.158/0001-43;981825141;31/10/2014;2014-10-31;similar
TACROLIMO;LAB INDL FTCO ALAGOAS SA - LIFAL;12.343.158/0001-43;981799149;31/10/2014;2014-10-31;generico
CLORETO DE MAGNÉSIO IFAL;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA;376959000126;996054146;05/11/2014;2014-11-05;especifico
FUNED-CAPTOPRIL;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;992639149;05/11/2014;2014-11-05;similar
cetoconazol;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1009880141;10/11/2014;2014-11-10;generico
NEUTOSS;BELFAR LTDA;18.324.343/0001-77;1043725148;19/11/2014;2014-11-19;similar
CAPTOMIDO;BELFAR LTDA;18.324.343/0001-77;1051619141;21/11/2014;2014-11-21;similar
PHOSFOENEMA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1054846147;24/11/2014;2014-11-24;especifico
Paracetamol;UNITHER INDUSTRIA FARMACEUTICA LTDA.;4656253000179;1057160144;24/11/2014;2014-11-24;generico
CIMEGRIPE 77C;CIMED INDUSTRIA S.A;2814497000107;1094783143;05/12/2014;2014-12-05;similar
CLORIDRATO DE NAFAZOLINA;UNITHER INDUSTRIA FARMACEUTICA LTDA.;4656253000179;1103388146;09/12/2014;2014-12-09;generico
BELCOMPLEX;BELFAR LTDA;18.324.343/0001-77;1102968144;09/12/2014;2014-12-09;especifico
cloridrato de irinotecano;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;1105490145;10/12/2014;2014-12-10;generico
SULFERBEL;BELFAR LTDA;18.324.343/0001-77;1108095147;10/12/2014;2014-12-10;especifico
CIMEGRIPE;CIMED INDUSTRIA S.A;2814497000107;1114752141;12/12/2014;2014-12-12;similar
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1118322145;12/12/2014;2014-12-12;generico
CETOCONAZOL+ DIPROPIONATO DE BETAMETASONA+ SULFATO DE NEOMICINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1142062146;19/12/2014;2014-12-19;generico
CLOTRIMAZOL;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1161760148;30/12/2014;2014-12-30;generico
CLOTRIMAZOL + ACETATO DE DEXAMETASONA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1168151;02/01/2015;2015-01-02;generico
CALCIOFAR;BELFAR LTDA;18.324.343/0001-77;775157;02/01/2015;2015-01-02;especifico
SALVIT-M;BELFAR LTDA;18.324.343/0001-77;11021153;07/01/2015;2015-01-07;especifico
VITAMINA E 400UI;BELFAR LTDA;18.324.343/0001-77;10904155;07/01/2015;2015-01-07;especifico
VIEWGAM;ALKO DO BRASIL INDUSTRIA E COMERCIO LTDA;32.137.424/0001-99;42989159;16/01/2015;2015-01-16;similar
OPTI-BAR;ALKO DO BRASIL INDUSTRIA E COMERCIO LTDA;32.137.424/0001-99;42961159;16/01/2015;2015-01-16;similar
PIOLIXINA;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA;376959000126;48509158;19/01/2015;2015-01-19;similar
UROCTRIN;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;5044984000126;61886151;22/01/2015;2015-01-22;similar
CLORIDRATO DE TERBINAFINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;93691150;02/02/2015;2015-02-02;generico
PROPIONATO DE CLOBETASOL;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;135474154;12/02/2015;2015-02-12;generico
DIPIRONA SODICA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;156688151;20/02/2015;2015-02-20;generico
IBUPROFENO;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;180671158;27/02/2015;2015-02-27;generico
CLORIDRATO DE AMBROXOL;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;198051153;05/03/2015;2015-03-05;generico
diclofenaco dietilamônio;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;202509154;06/03/2015;2015-03-06;generico
AMOXICILINA TRIIDRATADA;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;231035150;16/03/2015;2015-03-16;generico
Propionato de Clobetasol;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;248845151;20/03/2015;2015-03-20;generico
PARACETAMOL;CIMED INDUSTRIA S.A;2814497000107;264084158;25/03/2015;2015-03-25;generico
CETODERM;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;311279159;09/04/2015;2015-04-09;similar
FLEET ENEMA;TOMMASI IMPORTAÇÃO E EXPORTAÇÃO LTDA;625692000163;328262157;15/04/2015;2015-04-15;especifico
NEMODINE;DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA;42.457.796/0001-56;328859155;15/04/2015;2015-04-15;similar
CARBAMAZEPINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;372658154;29/04/2015;2015-04-29;generico
PRATIFOLIN;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;400974156;07/05/2015;2015-05-07;especifico
CLOTRIMAZOL;LABORATÓRIO FARMACÊUTICO DA MARINHA;394502007157;421794152;13/05/2015;2015-05-13;similar
LFM-DAPSONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;394502007157;422039151;13/05/2015;2015-05-13;similar
LFM - MONONITRATO DE ISOSSORBIDA;LABORATÓRIO FARMACÊUTICO DA MARINHA;394502007157;428058150;15/05/2015;2015-05-15;similar
LFM-MEFLOQUINA;LABORATÓRIO FARMACÊUTICO DA MARINHA;394502007157;427679155;15/05/2015;2015-05-15;similar
OMEPRAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;437050153;19/05/2015;2015-05-19;generico
CLORIDRATO DE BETAXOLOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;473744150;28/05/2015;2015-05-28;generico
ALGEXIN COMPOSTO;CIMED INDUSTRIA S.A;2814497000107;489296158;02/06/2015;2015-06-02;similar
valerato de betametasona + sulfato de gentamicina + tolnaftato + clioquinol;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;522530152;15/06/2015;2015-06-15;generico
ANFUGITARIN;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;530656156;16/06/2015;2015-06-16;similar
valerato de betametasona;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;289671151;23/06/2015;2015-06-23;generico
DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA;CIMED INDUSTRIA S.A;2814497000107;568820155;29/06/2015;2015-06-29;generico
IMUNO  BCG;FUNDACAO ATAULPHO DE PAIVA;33.485.939/0001-42;647084150;22/07/2015;2015-07-22;biologico
HALOPERIDOL;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;648235150;23/07/2015;2015-07-23;generico
FACTANE;LFB - HEMODERIVADOS E BIOTECNOLOGIA LTDA;7207572000195;679716154;31/07/2015;2015-07-31;biologico
BETAFACT;LFB - HEMODERIVADOS E BIOTECNOLOGIA LTDA;7207572000195;679746156;31/07/2015;2015-07-31;biologico
ZITROBIOL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;689571159;04/08/2015;2015-08-04;similar
FURACIN;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;698087152;06/08/2015;2015-08-06;novo
BROMETO DE N-BUTILESCOPOLAMINA + DIPIRONA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;725132157;14/08/2015;2015-08-14;generico
TIMONEO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;732400156;18/08/2015;2015-08-18;similar
DOPROPIZINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;747731157;21/08/2015;2015-08-21;generico
THIABENA;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;804864159;10/09/2015;2015-09-10;similar
dipropionato de betametasona + sulfato de gentamicina;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;807229159;10/09/2015;2015-09-10;generico
dipropionato de betametasona + sulfato de gentamicina;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;805578155;10/09/2015;2015-09-10;generico
IQUEGO-CAPTOPRIL;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;819829152;15/09/2015;2015-09-15;similar
MALEATO DE TIMOLOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;821282151;15/09/2015;2015-09-15;generico
tobramicina;OPEM REPRESENTAÇÃO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA;38.909.503/0001-57;833402151;18/09/2015;2015-09-18;generico
TARFLEX;LABORATÓRIOS STIEFEL LTDA;63.064.653/0001-54;845252151;22/09/2015;2015-09-22;novo
ATENOLOL + CLORTALIDONA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;859231154;28/09/2015;2015-09-28;generico
IQUEGO - PARACETAMOL;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;883301150;05/10/2015;2015-10-05;similar
CALCIOVITAL B12;NATULAB LABORATÓRIO S.A;2456955000183;930532157;22/10/2015;2015-10-22;especifico
IQUEGO-LAMIVUDINA;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;936719155;23/10/2015;2015-10-23;similar
DICLORIDRATO DE CETIRIZINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;936826154;23/10/2015;2015-10-23;generico
captopril;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;941516155;26/10/2015;2015-10-26;generico
bezafibrato;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;941548153;26/10/2015;2015-10-26;generico
metildopa;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;945700153;27/10/2015;2015-10-27;generico
Vitalfolic;UNITHER INDUSTRIA FARMACEUTICA LTDA.;4656253000179;949721158;28/10/2015;2015-10-28;especifico
ORGANONEURO ÓPTICO;LABORATÓRIO GROSS S. A.;33.145.194/0001-72;953408153;29/10/2015;2015-10-29;especifico
SOLUÇÃO DE BICARBONATO DE SÓDIO 8,4% HALEX ISTAR;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;1571702000198;978915154;10/11/2015;2015-11-10;especifico
L-ENEMA;NATULAB LABORATÓRIO S.A;2456955000183;1027183150;25/11/2015;2015-11-25;especifico
KOLLANGEL TABS;NATULAB LABORATÓRIO S.A;2456955000183;1026101150;25/11/2015;2015-11-25;especifico
HIDRALYTE;NATULAB LABORATÓRIO S.A;2456955000183;1025296157;25/11/2015;2015-11-25;especifico
NADERM;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1036029158;27/11/2015;2015-11-27;similar
FURP-DAPSONA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1046081151;01/12/2015;2015-12-01;similar
cloridrato de metoclopramida;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;1053838151;03/12/2015;2015-12-03;generico
flumazenil;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;1094063154;16/12/2015;2015-12-16;generico
FUMARATO DE CETOTIFENO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1098458155;17/12/2015;2015-12-17;generico
CLORIDRATO DE ROPIVACAÍNA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1122082151;29/12/2015;2015-12-29;generico
SOROLIV HIPERTÔNICO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1134569161;05/01/2016;2016-01-05;especifico
BELCOMPLEX B;BELFAR LTDA;18.324.343/0001-77;1215627162;29/01/2016;2016-01-29;especifico
MICOSBEL;BELFAR LTDA;18.324.343/0001-77;1215803168;29/01/2016;2016-01-29;similar
IQUEGO - RANITIDINA;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;1221749162;01/02/2016;2016-02-01;similar
GRETIVIT;BELFAR LTDA;18.324.343/0001-77;1246048166;04/02/2016;2016-02-04;especifico
ESTRADIOL+ACETATO DE NORETISTERONA;EMS S/A;57.507.378/0003-65;1271248165;16/02/2016;2016-02-16;generico
RILAN;UCI  - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;1275879165;17/02/2016;2016-02-17;novo
ACETILCISTEÍNA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1281295161;18/02/2016;2016-02-18;generico
VITER C + Zn;NATULAB LABORATÓRIO S.A;2456955000183;1284732161;19/02/2016;2016-02-19;especifico
MINUSORB;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;1303082165;25/02/2016;2016-02-25;similar
VITAMINA C MARIOL;UNITHER INDUSTRIA FARMACEUTICA LTDA.;4656253000179;1307658162;26/02/2016;2016-02-26;especifico
MANITOL A 20 % BASA;INDUSTRIA FARMACEUTICA BASA LTDA;88.610.555/0001-04;1313256163;29/02/2016;2016-02-29;especifico
CLORIDRATO DE BROMEXINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1323899160;03/03/2016;2016-03-03;generico
PRIDECIL;CHIESI FARMACÊUTICA LTDA;61.363.032/0001-46;1341874162;09/03/2016;2016-03-09;similar
DUZIMICIN;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1376721166;18/03/2016;2016-03-18;similar
IQUEGO-IBUPROFENO;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;1385265165;21/03/2016;2016-03-21;similar
TIABENDAZOL;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;1393475169;22/03/2016;2016-03-22;generico
Vialebex;LFB - HEMODERIVADOS E BIOTECNOLOGIA LTDA;7207572000195;1516594169;07/04/2016;2016-04-07;biologico
Tegeline;LFB - HEMODERIVADOS E BIOTECNOLOGIA LTDA;7207572000195;1517246165;07/04/2016;2016-04-07;biologico
citrato de tamoxifeno;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1537659161;11/04/2016;2016-04-11;generico
CLORETO DE MAGNÉSIO HEMAFARMA;HEMAFARMA COM E IND FARMACEUTICA LTDA;30.332.829/0001-52;1580689168;19/04/2016;2016-04-19;especifico
GYNBEN;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;1586264160;20/04/2016;2016-04-20;similar
ACICLOR;KLEY HERTZ FARMACEUTICA S.A;92.695.691/0001-03;1609071163;25/04/2016;2016-04-25;similar
Léptico;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1667098161;04/05/2016;2016-05-04;similar
TINIDAZOL + NITRATO DE MICONAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1667968167;04/05/2016;2016-05-04;generico
clotrimazol;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1743362162;12/05/2016;2016-05-12;generico
digoxina;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1769174165;18/05/2016;2016-05-18;generico
CEFALOTIL;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;1785647167;20/05/2016;2016-05-20;similar
ENERGRIP C;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1848821168;31/05/2016;2016-05-31;especifico
OXANON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1860420160;02/06/2016;2016-06-02;similar
PROPIONATO DE CLOBETASOL;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1903582169;10/06/2016;2016-06-10;generico
FUNED ÁCIDO FÓLICO;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;1904387162;10/06/2016;2016-06-10;especifico
FUNED METILDOPA;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;1904963163;10/06/2016;2016-06-10;similar
FUNED - FENITOÍNA;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;1904769160;10/06/2016;2016-06-10;similar
SULFAMETOXAZOL + TRIMETOPRIMA;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1923337160;14/06/2016;2016-06-14;generico
MICOFENOLATO DE MOFETILA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1928958168;15/06/2016;2016-06-15;generico
Funed Sulfametoxazol + Trimetoprima;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;1929364160;15/06/2016;2016-06-15;similar
C-PLATIN;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1940065169;17/06/2016;2016-06-17;similar
cloridrato de terbinafina;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1969212169;23/06/2016;2016-06-23;generico
nitrato de isoconazol;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1969142164;23/06/2016;2016-06-23;generico
NERVAMIN;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1987318162;27/06/2016;2016-06-27;especifico
FLUTAMIDA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2008154165;30/06/2016;2016-06-30;generico
DOBUTARISTON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2031401169;05/07/2016;2016-07-05;similar
CITARAX;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2039256167;07/07/2016;2016-07-07;similar
POLYTEK-B;OPEM REPRESENTAÇÃO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA;38.909.503/0001-57;2058423167;11/07/2016;2016-07-11;similar
CETOCONAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2093408164;18/07/2016;2016-07-18;generico
CETOCONAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2093384163;18/07/2016;2016-07-18;generico
Maleato de Dexclorfeniramina;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2100937166;20/07/2016;2016-07-20;generico
