Medicamento;Empresa;CNPJ;Expediente;Data de Publicação_rel;Data de Publicação_cat;Data de Publicação (dt)_rel;Data de Publicação (dt)_cat;Categoria;status
DECADRON INJETÁVEL;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;570756243;30/04/2024;;2024-04-30;;;novo_em_relatorio
cloridrato de nortriptilina;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1278876243;17/09/2024;;2024-09-17;;;novo_em_relatorio
DECADRON NASAL;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;463703251;04/04/2025;;2025-04-04;;;novo_em_relatorio
OTOSPORIN;FARMOQUÍMICA S/A;33.349.473/0001-58;1347490248;01/10/2024;;2024-10-01;;;novo_em_relatorio
RITMONORM;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;240019253;20/02/2025;;2025-02-20;;;novo_em_relatorio
GLICONATO DE CALCIO 10%;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;1216239186;28/12/2018;;2018-12-28;;;novo_em_relatorio
ALIMTA;ELI LILLY DO BRASIL LTDA;43.940.618/0001-44;453832253;02/04/2025;;2025-04-02;;;novo_em_relatorio
DOXOPEG;ADIUM S.A.;55.980.684/0001-27;1101296241;12/08/2024;;2024-08-12;;;novo_em_relatorio
HIXIZINE;THERASKIN FARMACEUTICA LTDA.;61.517.397/0001-88;812482255;18/06/2025;;2025-06-18;;;novo_em_relatorio
AGUA INGLESA CATARINENSE;LABORATORIO CATARINENSE LTDA;84.684.620/0001-87;788325256;11/06/2025;;2025-06-11;;;novo_em_relatorio
DECADRON;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;497612259;10/04/2025;;2025-04-10;;;novo_em_relatorio
CAPTOPRIL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;750610255;03/06/2025;;2025-06-03;;;novo_em_relatorio
NISULID;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;322948258;10/03/2025;;2025-03-10;;;novo_em_relatorio
FENTIZOL;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;991726251;31/07/2025;;2025-07-31;;;novo_em_relatorio
BIOVIR;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;224831241;26/02/2024;;2024-02-26;;;novo_em_relatorio
LORATADINA + SULFATO DE PSEUDOEFEDRINA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;378866249;26/03/2024;;2024-03-26;;;novo_em_relatorio
ENDROSTAN;CELLERA FARMACÊUTICA S.A.;33.173.097/0002-74;918843243;05/07/2024;;2024-07-05;;;novo_em_relatorio
FLOGORAL;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1130212254;21/08/2025;;2025-08-21;;;novo_em_relatorio
fosfato de clindamicina;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;356840221;28/01/2022;;2022-01-28;;;novo_em_relatorio
