Medicamento;Empresa;CNPJ;Expediente;Data de Publicação_rel;Data de Publicação_cat;Data de Publicação (dt)_rel;Data de Publicação (dt)_cat;Categoria;status
Aciclovir TESTE;EMPRESA DE TESTE LTDA. (VS01);11.111.111/0001-91;1920763218;31/10/2023;28/04/2023;2023-10-31;2023-04-28;;mais_recente_em_relatorio
GENFIBROZILA;EMS S/A;57.507.378/0003-65;1734513241;19/12/2024;;2024-12-19;;;novo_em_relatorio
SUCCINATO SODICO DE HIDROCORTISONA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;996020233;19/09/2023;;2023-09-19;;;novo_em_relatorio
OXALATO DE ESCITALOPRAM;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;648697258;14/05/2025;;2025-05-14;;;novo_em_relatorio
FENOSUPREX;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;834938251;25/06/2025;;2025-06-25;;;novo_em_relatorio
VIDMAX;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;218887230;06/03/2023;;2023-03-06;;;novo_em_relatorio
LFM ZIPRASIDONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;2548887162;01/12/2016;;2016-12-01;;;novo_em_relatorio
LEXAPRASS;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;711172234;11/07/2023;;2023-07-11;;;novo_em_relatorio
NEVANAC;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;805015256;16/06/2025;;2025-06-16;;;novo_em_relatorio
HIDROCLOROTIAZIDA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;128625252;29/01/2025;;2025-01-29;;;novo_em_relatorio
GINKOTAB;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;134324186;21/02/2018;;2018-02-21;;;novo_em_relatorio
acetilcisteína;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;307359247;13/03/2024;;2024-03-13;;;novo_em_relatorio
TRAVATAN;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;484444247;17/04/2024;;2024-04-17;;;novo_em_relatorio
FILINAR G;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;781083257;10/06/2025;;2025-06-10;;;novo_em_relatorio
OXALATO DE ESCITALOPRAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;720526230;13/07/2023;;2023-07-13;;;novo_em_relatorio
TENOXICAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;684978253;21/05/2025;;2025-05-21;;;novo_em_relatorio
CLORIDRATO DE METOCLOPRAMIDA;CIMED INDUSTRIA S.A;02.814.497/0001-07;2477480227;20/04/2022;;2022-04-20;;;novo_em_relatorio
ANDROGEL;Besins Healthcare Brasil Comercial e Distribuidora de Medicamentos Ltda;11.082.598/0003-93;1006700251;05/08/2025;;2025-08-05;;;novo_em_relatorio
FURP-GLIBENCLAMIDA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;349163251;14/03/2025;;2025-03-14;;;novo_em_relatorio
sulfametoxazol+trimetoprima;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1318284244;25/09/2024;;2024-09-25;;;novo_em_relatorio
hemifumarato de quetiapina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1001230256;04/08/2025;;2025-08-04;;;novo_em_relatorio
OLANZAPINA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;2499163195;15/10/2019;;2019-10-15;;;novo_em_relatorio
maleato de dexclorfeniramina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;133860189;21/02/2018;;2018-02-21;;;novo_em_relatorio
CANDESARTANA CILEXETILA;EMS S/A;57.507.378/0003-65;618384251;07/05/2025;;2025-05-07;;;novo_em_relatorio
NOTUSS TSS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;405477252;25/03/2025;;2025-03-25;;;novo_em_relatorio
DONILA DUO;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;247154229;19/01/2022;;2022-01-19;;;novo_em_relatorio
ONICORYL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;240233255;20/02/2025;;2025-02-20;;;novo_em_relatorio
ESALERG;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1016501251;07/08/2025;;2025-08-07;;;novo_em_relatorio
PERMETRINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;514965258;15/04/2025;;2025-04-15;;;novo_em_relatorio
PLENANCE;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1170716253;02/09/2025;;2025-09-02;;;novo_em_relatorio
MESILATO DE IMATINIBE;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;195922255;12/02/2025;;2025-02-12;;;novo_em_relatorio
TIOCOLCHICOSÍDEO;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;156591251;04/02/2025;;2025-02-04;;;novo_em_relatorio
VESOMNI;ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.;07.768.134/0001-04;900984236;25/08/2023;;2023-08-25;;;novo_em_relatorio
ARISCORTEN;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1201884233;01/11/2023;;2023-11-01;;;novo_em_relatorio
METAXON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1024414248;26/07/2024;;2024-07-26;;;novo_em_relatorio
VANCOSON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;473141256;07/04/2025;;2025-04-07;;;novo_em_relatorio
MICOFENOLATO DE SÓDIO;EMS S/A;57.507.378/0003-65;834591251;25/06/2025;;2025-06-25;;;novo_em_relatorio
GENGIMIN;FARMOQUÍMICA S/A;33.349.473/0001-58;102514241;26/01/2024;;2024-01-26;;;novo_em_relatorio
OESTROGEL;Besins Healthcare Brasil Comercial e Distribuidora de Medicamentos Ltda;11.082.598/0003-93;1149793252;27/08/2025;;2025-08-27;;;novo_em_relatorio
OPRAZON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1076470238;09/10/2023;;2023-10-09;;;novo_em_relatorio
CLORIDRATO DE ZIPRASIDONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;1523451246;05/11/2024;;2024-11-05;;;novo_em_relatorio
RINGER;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;2493003202;29/07/2020;;2020-07-29;;;novo_em_relatorio
ATORVASTATINA CÁLCICA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1058061181;05/11/2018;;2018-11-05;;;novo_em_relatorio
candesartana cilexetila + hidroclorotiazida;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;792537254;12/06/2025;;2025-06-12;;;novo_em_relatorio
LANSOPRAZOL;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1736111248;19/12/2024;;2024-12-19;;;novo_em_relatorio
DUOMO HP;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;942077253;21/07/2025;;2025-07-21;;;novo_em_relatorio
ALENDRONATO DE SÓDIO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1372370234;04/12/2023;;2023-12-04;;;novo_em_relatorio
TISSEEL;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;1230775242;06/09/2024;;2024-09-06;;;novo_em_relatorio
CLORIDRATO DE HIDROXIZINA;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;02.501.297/0001-02;793945259;12/06/2025;;2025-06-12;;;novo_em_relatorio
TIVICAY;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;452108250;02/04/2025;;2025-04-02;;;novo_em_relatorio
HERZUMA;CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA;05.452.889/0001-61;1605933244;25/11/2024;;2024-11-25;;;novo_em_relatorio
LONQUEX;TEVA FARMACÊUTICA LTDA.;05.333.542/0001-08;127572252;29/01/2025;;2025-01-29;;;novo_em_relatorio
TEICOSTON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;431266247;05/04/2024;;2024-04-05;;;novo_em_relatorio
HOLMES H;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;910294259;11/07/2025;;2025-07-11;;;novo_em_relatorio
CLORIDRATO DE MEMANTINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;662349253;16/05/2025;;2025-05-16;;;novo_em_relatorio
OLMECOR;TORRENT DO BRASIL LTDA;33.078.528/0001-32;1086391250;15/08/2025;;2025-08-15;;;novo_em_relatorio
OMEPRAZOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1389479242;09/10/2024;;2024-10-09;;;novo_em_relatorio
MEPICAIN 3%;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;753364255;04/06/2025;;2025-06-04;;;novo_em_relatorio
Simponi;JANSSEN-CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;869069250;02/07/2025;;2025-07-02;;;novo_em_relatorio
LIPIDIL;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;35244259;10/01/2025;;2025-01-10;;;novo_em_relatorio
CELECOXIBE;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;516716255;15/04/2025;;2025-04-15;;;novo_em_relatorio
TAMIRAM;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;329167251;11/03/2025;;2025-03-11;;;novo_em_relatorio
LEFLUNOMIDA;LABORATÓRIO FARMACÊUTICO DA MARINHA;00.394.502/0071-57;792547250;12/06/2025;;2025-06-12;;;novo_em_relatorio
ESPINHEIRA SANTA NATULAB;NATULAB LABORATORIO S.A;02.456.955/0001-83;4754483227;28/09/2022;;2022-09-28;;;novo_em_relatorio
BENEROC;BAYER S.A.;18.459.628/0001-15;1176855247;27/08/2024;;2024-08-27;;;novo_em_relatorio
PREGABALINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;593191251;02/05/2025;;2025-05-02;;;novo_em_relatorio
NEUROCONTROL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1456840231;21/12/2023;;2023-12-21;;;novo_em_relatorio
TRIMEB;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;579145239;06/06/2023;;2023-06-06;;;novo_em_relatorio
DOPABANE;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1174188251;03/09/2025;;2025-09-03;;;novo_em_relatorio
AMLODIL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;1445559242;21/10/2024;;2024-10-21;;;novo_em_relatorio
maleato de trimebutina;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;231099258;18/02/2025;;2025-02-18;;;novo_em_relatorio
CLORIDRATO DE ZIPRASIDONA;EMS S/A;57.507.378/0003-65;640599257;12/05/2025;;2025-05-12;;;novo_em_relatorio
ácido tranexâmico;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;741926245;04/06/2024;;2024-06-04;;;novo_em_relatorio
ADIPEPT;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;1020349255;08/08/2025;;2025-08-08;;;novo_em_relatorio
MYCOSODIUM;EMS S/A;57.507.378/0003-65;834740257;25/06/2025;;2025-06-25;;;novo_em_relatorio
CLORIDRATO DE SERTRALINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;2324905196;03/10/2019;;2019-10-03;;;novo_em_relatorio
OXALATO DE ESCITALOPRAM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;720454239;13/07/2023;;2023-07-13;;;novo_em_relatorio
PARACETAMOL + FOSFATO DE CODEÍNA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1429703245;17/10/2024;;2024-10-17;;;novo_em_relatorio
risperidona;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;379046253;20/03/2025;;2025-03-20;;;novo_em_relatorio
GABAPENTINA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;482548258;08/04/2025;;2025-04-08;;;novo_em_relatorio
TIMONEO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;732400156;18/08/2015;;2015-08-18;;;novo_em_relatorio
ACECLO-GRAN;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1387942239;06/12/2023;;2023-12-06;;;novo_em_relatorio
IRBESARTANA+ HIDROCLOROTIAZIDA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;940143259;21/07/2025;;2025-07-21;;;novo_em_relatorio
CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;4681397229;13/09/2022;;2022-09-13;;;novo_em_relatorio
VIMIZIM;BIOMARIN BRASIL FARMACÊUTICA LTDA;08.002.360/0001-34;834326256;25/06/2025;;2025-06-25;;;novo_em_relatorio
TREBYXAN;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;61.282.661/0001-41;247634255;21/02/2025;;2025-02-21;;;novo_em_relatorio
VELIJA;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;840427255;26/06/2025;;2025-06-26;;;novo_em_relatorio
GINNA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;949771236;06/09/2023;;2023-09-06;;;novo_em_relatorio
ALCACHOFRA NATULAB;NATULAB LABORATORIO S.A;02.456.955/0001-83;228491223;18/01/2022;;2022-01-18;;;novo_em_relatorio
SANDOGLOBULINA;CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;62.969.589/0001-98;1313313246;24/09/2024;;2024-09-24;;;novo_em_relatorio
Amoxicilina;CIMED INDUSTRIA S.A;02.814.497/0001-07;1118916255;19/08/2025;;2025-08-19;;;novo_em_relatorio
COLCHICINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1771493241;30/12/2024;;2024-12-30;;;novo_em_relatorio
EPAPHYTO;NATULAB LABORATORIO S.A;02.456.955/0001-83;1479932221;01/04/2022;;2022-04-01;;;novo_em_relatorio
EXFORGE HCT;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;1149756241;21/08/2024;;2024-08-21;;;novo_em_relatorio
CANDESARTANA CILEXETILA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;601698258;05/05/2025;;2025-05-05;;;novo_em_relatorio
SUCCITRAT;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;487895240;17/04/2024;;2024-04-17;;;novo_em_relatorio
ESALERG GOTAS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;455680256;03/04/2025;;2025-04-03;;;novo_em_relatorio
TECFIDERA;BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA;07.986.222/0001-74;829935258;24/06/2025;;2025-06-24;;;novo_em_relatorio
CLAFORDIL;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;11497254;06/01/2025;;2025-01-06;;;novo_em_relatorio
MIRTAZAPINA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;433970251;31/03/2025;;2025-03-31;;;novo_em_relatorio
LABREA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;441420257;01/04/2025;;2025-04-01;;;novo_em_relatorio
NEO FRESH;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;802898254;16/06/2025;;2025-06-16;;;novo_em_relatorio
EXPECTOVIC;AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;01.858.973/0001-29;1424051223;28/03/2022;;2022-03-28;;;novo_em_relatorio
DROSPIRENONA + ETINILESTRADIOL;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;1486841244;29/10/2024;;2024-10-29;;;novo_em_relatorio
CLORIDRATO DE TRAMADOL;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;1750890241;23/12/2024;;2024-12-23;;;novo_em_relatorio
SILIMALON;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;764694251;06/06/2025;;2025-06-06;;;novo_em_relatorio
NACTALI;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;297546252;05/03/2025;;2025-03-05;;;novo_em_relatorio
Loratadina;CIMED INDUSTRIA S.A;02.814.497/0001-07;229047254;18/02/2025;;2025-02-18;;;novo_em_relatorio
BROMETO DE PINAVÉRIO;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;772884251;09/06/2025;;2025-06-09;;;novo_em_relatorio
KEPPRA;UCB BIOPHARMA LTDA.;64.711.500/0001-14;1077125259;14/08/2025;;2025-08-14;;;novo_em_relatorio
ESC;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;128409240;01/02/2024;;2024-02-01;;;novo_em_relatorio
RIBOMUSTIN;JANSSEN-CILAG FARMACÊUTICA LTDA;51.780.468/0001-87;4339773221;24/06/2022;;2022-06-24;;;novo_em_relatorio
ALOXIDIL;THERASKIN FARMACEUTICA LTDA.;61.517.397/0001-88;1753757240;23/12/2024;;2024-12-23;;;novo_em_relatorio
XTANDI;ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.;07.768.134/0001-04;1148051252;27/08/2025;;2025-08-27;;;novo_em_relatorio
CLORIDRATO DE AMBROXOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;711241236;11/07/2023;;2023-07-11;;;novo_em_relatorio
CLORIDRATO DE LINCOMICINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;336602182;27/04/2018;;2018-04-27;;;novo_em_relatorio
OSTEOTRAT;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;4447810212;10/11/2021;;2021-11-10;;;novo_em_relatorio
TARTARATO DE BRIMONIDINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;813949254;18/06/2025;;2025-06-18;;;novo_em_relatorio
PEPSOGEL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1546858245;11/11/2024;;2024-11-11;;;novo_em_relatorio
BAC-SULFITRIN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;185383254;10/02/2025;;2025-02-10;;;novo_em_relatorio
NITROFURANTOINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;615095259;07/05/2025;;2025-05-07;;;novo_em_relatorio
SOL-CART B;LABORATORIOS B. BRAUN S/A;31.673.254/0001-02;114355240;30/01/2024;;2024-01-30;;;novo_em_relatorio
ESOMEPRAZOL SODICO;SUN FARMACÊUTICA DO BRASIL LTDA;05.035.244/0001-23;311180221;24/01/2022;;2022-01-24;;;novo_em_relatorio
IPSILON;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;468177248;12/04/2024;;2024-04-12;;;novo_em_relatorio
Perjeta;PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;33.009.945/0001-23;530902249;23/04/2024;;2024-04-23;;;novo_em_relatorio
BROMAZEPAM (PORTARIA 344/98 - LISTA B1);BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;1158963254;29/08/2025;;2025-08-29;;;novo_em_relatorio
ZITRONEO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;4360282222;29/06/2022;;2022-06-29;;;novo_em_relatorio
STANGLIT;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;794359256;12/06/2025;;2025-06-12;;;novo_em_relatorio
VISIPAQUE;GE HEALTHCARE DO BRASIL COMÉRCIO E SERVIÇOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;00.029.372/0001-40;1569307245;14/11/2024;;2024-11-14;;;novo_em_relatorio
FURP-HIDROCLOROTIAZIDA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;284693251;28/02/2025;;2025-02-28;;;novo_em_relatorio
TRANSAMIN;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;1277973237;17/11/2023;;2023-11-17;;;novo_em_relatorio
LANVIS;ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;02.433.631/0001-20;243329253;20/02/2025;;2025-02-20;;;novo_em_relatorio
GINKOBA;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;808302256;17/06/2025;;2025-06-17;;;novo_em_relatorio
cloridrato de propranolol;LABORATÓRIOS OSÓRIO DE MORAES LTDA;19.791.813/0001-75;905790251;10/07/2025;;2025-07-10;;;novo_em_relatorio
MASSAGEOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;558290213;11/02/2021;;2021-02-11;;;novo_em_relatorio
MESALAZINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;976146240;17/07/2024;;2024-07-17;;;novo_em_relatorio
ZEEL-ARTRO;HEEL DO BRASIL BIOMÉDICA LTDA;05.994.539/0001-27;1187422231;30/10/2023;;2023-10-30;;;novo_em_relatorio
UTROGESTAN;Besins Healthcare Brasil Comercial e Distribuidora de Medicamentos Ltda;11.082.598/0003-93;906640253;10/07/2025;;2025-07-10;;;novo_em_relatorio
CILODEX;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;603177255;05/05/2025;;2025-05-05;;;novo_em_relatorio
BROMUC;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1418029246;16/10/2024;;2024-10-16;;;novo_em_relatorio
ZICLAGUE;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A;08.939.548/0001-03;2609732160;03/01/2023;;2023-01-03;;;novo_em_relatorio
LUR GOTAS;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;192316231;27/02/2023;;2023-02-27;;;novo_em_relatorio
diclofenaco dietilamônio;CIMED INDUSTRIA S.A;02.814.497/0001-07;228529255;18/02/2025;;2025-02-18;;;novo_em_relatorio
TACROZ;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;5017143220;05/12/2022;;2022-12-05;;;novo_em_relatorio
CILOXAN;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;602439256;05/05/2025;;2025-05-05;;;novo_em_relatorio
OXANON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1079797246;07/08/2024;;2024-08-07;;;novo_em_relatorio
SONOVUE;Bracco Imaging do Brasil Importação e Distribuição de Medicamentos Ltda;10.742.412/0004-01;844569259;27/06/2025;;2025-06-27;;;novo_em_relatorio
ANIDULAFUNGINA;PFIZER BRASIL LTDA;61.072.393/0001-33;884257240;28/06/2024;;2024-06-28;;;novo_em_relatorio
VÊNULA;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;1058218255;13/08/2025;;2025-08-13;;;novo_em_relatorio
DRAMAVIT B6;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;387281258;21/03/2025;;2025-03-21;;;novo_em_relatorio
ACETATO DE CIPROTERONA+ETINILESTRADIOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;3581241218;10/09/2021;;2021-09-10;;;novo_em_relatorio
JARDIANCE;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;60.831.658/0001-77;194250253;11/02/2025;;2025-02-11;;;novo_em_relatorio
Prebictal;ADIUM S.A.;55.980.684/0001-27;553122240;26/04/2024;;2024-04-26;;;novo_em_relatorio
STRIVERDI RESPIMAT;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;60.831.658/0001-77;59618256;15/01/2025;;2025-01-15;;;novo_em_relatorio
CLORIDRATO DE VANCOMICINA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;205226248;21/02/2024;;2024-02-21;;;novo_em_relatorio
meropeném;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;322265258;10/03/2025;;2025-03-10;;;novo_em_relatorio
BIMAGAN;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1197331247;30/08/2024;;2024-08-30;;;novo_em_relatorio
TOBRADEX;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;1200054253;10/09/2025;;2025-09-10;;;novo_em_relatorio
ALIVPRESS;CIMED INDUSTRIA S.A;02.814.497/0001-07;1968513191;12/08/2019;;2019-08-12;;;novo_em_relatorio
LERGIDRIN;LABORATÓRIO GLOBO SA;17.115.437/0001-73;793447259;12/06/2025;;2025-06-12;;;novo_em_relatorio
TRAVOPROSTA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;776814231;26/07/2023;;2023-07-26;;;novo_em_relatorio
bromidrato de citalopram;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;680489258;21/05/2025;;2025-05-21;;;novo_em_relatorio
cloridrato de memantina;UNICHEM FARMACÊUTICA DO BRASIL LTDA;05.399.786/0001-85;672406250;19/05/2025;;2025-05-19;;;novo_em_relatorio
Benegrip Multi;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;986450235;18/09/2023;;2023-09-18;;;novo_em_relatorio
celecoxibe;EMS S/A;57.507.378/0003-65;309796253;07/03/2025;;2025-03-07;;;novo_em_relatorio
AZOPT;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;1638252246;29/11/2024;;2024-11-29;;;novo_em_relatorio
AZORGA;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;640491251;12/05/2025;;2025-05-12;;;novo_em_relatorio
MARACUJÁ HERBARIUM;HERBARIUM LABORATORIO BOTANICO LTDA;78.950.011/0001-20;1187244252;08/09/2025;;2025-09-08;;;novo_em_relatorio
GLIBENCLAMIDA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;362824258;18/03/2025;;2025-03-18;;;novo_em_relatorio
MONTELUCASTE DE SODIO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;221196251;17/02/2025;;2025-02-17;;;novo_em_relatorio
NAPRIX D;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;665689250;16/05/2025;;2025-05-16;;;novo_em_relatorio
bimatoprosta;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;777935236;26/07/2023;;2023-07-26;;;novo_em_relatorio
TOPERMA;GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.;10.555.143/0001-13;547670257;23/04/2025;;2025-04-23;;;novo_em_relatorio
