Medicamento;Expediente;Data de Publicação;Bula do Paciente;Empresa;CNPJ;Registro
TISSEEL;1230775242;06/09/2024;FALHA_NO_DOWNLOAD;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;106830182
HERZUMA;1605933244;25/11/2024;FALHA_NO_DOWNLOAD;CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA;05.452.889/0001-61;192160002
