"idActiveIngredient","nameActiveIngredient","atcCode","umlsCUI","umlsTUI","therapeuticClass","prefLabel","altLabel"
"http://healdb.org/rdf-schema#AI_1624","NATRUM SULFURICUM","http://purl.bioontology.org/ontology/ATC/A12CA02","C0074769","T121","http://purl.bioontology.org/ontology/ATC/A12CA","Sodium supplements","Sodium"
"http://healdb.org/rdf-schema#AI_1624","NATRUM SULFURICUM","http://purl.bioontology.org/ontology/ATC/A12CA02","C0074769","T197","http://purl.bioontology.org/ontology/ATC/A12CA","Sodium supplements","Sodium"
"http://healdb.org/rdf-schema#AI_1630","ALENTUZUMABE","http://purl.bioontology.org/ontology/ATC/L04AG06","C0383429","T116","http://purl.bioontology.org/ontology/ATC/L04AG","Monoclonal antibodies",
"http://healdb.org/rdf-schema#AI_1630","ALENTUZUMABE","http://purl.bioontology.org/ontology/ATC/L04AG06","C0383429","T121","http://purl.bioontology.org/ontology/ATC/L04AG","Monoclonal antibodies",
"http://healdb.org/rdf-schema#AI_1630","ALENTUZUMABE","http://purl.bioontology.org/ontology/ATC/L04AG06","C0383429","T129","http://purl.bioontology.org/ontology/ATC/L04AG","Monoclonal antibodies",
"http://healdb.org/rdf-schema#AI_1634","CICLOSSILICATO DE ZIRCÔNIO SÓDICO HIDRATADO","http://purl.bioontology.org/ontology/ATC/V03AE10","C4045824","T121","http://purl.bioontology.org/ontology/ATC/V03AE","Drugs for treatment of hyperkalemia and hyperphosphatemia",
"http://healdb.org/rdf-schema#AI_1634","CICLOSSILICATO DE ZIRCÔNIO SÓDICO HIDRATADO","http://purl.bioontology.org/ontology/ATC/V03AE10","C4045824","T197","http://purl.bioontology.org/ontology/ATC/V03AE","Drugs for treatment of hyperkalemia and hyperphosphatemia",
"http://healdb.org/rdf-schema#AI_1636","TRIFLURIDINA","http://purl.bioontology.org/ontology/ATC/S01AD02","C0040987","T114","http://purl.bioontology.org/ontology/ATC/S01AD","Antivirals, ophthalmologic","Antivirals"
"http://healdb.org/rdf-schema#AI_1636","TRIFLURIDINA","http://purl.bioontology.org/ontology/ATC/S01AD02","C0040987","T121","http://purl.bioontology.org/ontology/ATC/S01AD","Antivirals, ophthalmologic","Antivirals"
"http://healdb.org/rdf-schema#AI_1637","LORLATINIBE","http://purl.bioontology.org/ontology/ATC/L01ED05","C4080091","T109","http://purl.bioontology.org/ontology/ATC/L01ED","Anaplastic lymphoma kinase (ALK) inhibitors",
"http://healdb.org/rdf-schema#AI_1637","LORLATINIBE","http://purl.bioontology.org/ontology/ATC/L01ED05","C4080091","T121","http://purl.bioontology.org/ontology/ATC/L01ED","Anaplastic lymphoma kinase (ALK) inhibitors",
"http://healdb.org/rdf-schema#AI_1638","LORNOXICAM","http://purl.bioontology.org/ontology/ATC/M01AC05","C0055477","T109","http://purl.bioontology.org/ontology/ATC/M01AC","Oxicams, antiinflammatory and antirheumatic drugs","Oxicams"
"http://healdb.org/rdf-schema#AI_1638","LORNOXICAM","http://purl.bioontology.org/ontology/ATC/M01AC05","C0055477","T121","http://purl.bioontology.org/ontology/ATC/M01AC","Oxicams, antiinflammatory and antirheumatic drugs","Oxicams"
"http://healdb.org/rdf-schema#AI_1639","OLAPARIBE","http://purl.bioontology.org/ontology/ATC/L01XK01","C2316164","T109","http://purl.bioontology.org/ontology/ATC/L01XK","Poly (ADP-ribose) polymerase (PARP) inhibitors",
"http://healdb.org/rdf-schema#AI_1639","OLAPARIBE","http://purl.bioontology.org/ontology/ATC/L01XK01","C2316164","T121","http://purl.bioontology.org/ontology/ATC/L01XK","Poly (ADP-ribose) polymerase (PARP) inhibitors",
"http://healdb.org/rdf-schema#AI_164","CARBONATO DE CÁLCIO","http://purl.bioontology.org/ontology/ATC/A12AA04","C0006681","T121","http://purl.bioontology.org/ontology/ATC/A12AA","Calcium",
"http://healdb.org/rdf-schema#AI_164","CARBONATO DE CÁLCIO","http://purl.bioontology.org/ontology/ATC/A12AA04","C0006681","T197","http://purl.bioontology.org/ontology/ATC/A12AA","Calcium",
"http://healdb.org/rdf-schema#AI_164","CARBONATO DE CÁLCIO","http://purl.bioontology.org/ontology/ATC/A02AC01","C0006681","T121","http://purl.bioontology.org/ontology/ATC/A02AC","antacids containing calcium compounds","Calcium compounds"
"http://healdb.org/rdf-schema#AI_164","CARBONATO DE CÁLCIO","http://purl.bioontology.org/ontology/ATC/A02AC01","C0006681","T197","http://purl.bioontology.org/ontology/ATC/A02AC","antacids containing calcium compounds","Calcium compounds"
"http://healdb.org/rdf-schema#AI_1643","NITROFURANTOÍNA","http://purl.bioontology.org/ontology/ATC/J01XE01","C0028156","T109","http://purl.bioontology.org/ontology/ATC/J01XE","Nitrofuran derivatives, antibacterials for systemic use","Nitrofuran derivatives"
"http://healdb.org/rdf-schema#AI_1643","NITROFURANTOÍNA","http://purl.bioontology.org/ontology/ATC/J01XE01","C0028156","T121","http://purl.bioontology.org/ontology/ATC/J01XE","Nitrofuran derivatives, antibacterials for systemic use","Nitrofuran derivatives"
"http://healdb.org/rdf-schema#AI_1647","GADOPENTETATO DE DIMEGLUMINA","http://purl.bioontology.org/ontology/ATC/V08CA01","C0060933","T109","http://purl.bioontology.org/ontology/ATC/V08CA","Paramagnetic contrast media",
"http://healdb.org/rdf-schema#AI_1647","GADOPENTETATO DE DIMEGLUMINA","http://purl.bioontology.org/ontology/ATC/V08CA01","C0060933","T130","http://purl.bioontology.org/ontology/ATC/V08CA","Paramagnetic contrast media",
"http://healdb.org/rdf-schema#AI_1649","TIROTRICINA","http://purl.bioontology.org/ontology/ATC/R02AB02","C0041499","T116","http://purl.bioontology.org/ontology/ATC/R02AB","Antibiotic throat preparations","Antibiotics"
"http://healdb.org/rdf-schema#AI_1649","TIROTRICINA","http://purl.bioontology.org/ontology/ATC/R02AB02","C0041499","T195","http://purl.bioontology.org/ontology/ATC/R02AB","Antibiotic throat preparations","Antibiotics"
"http://healdb.org/rdf-schema#AI_1649","TIROTRICINA","http://purl.bioontology.org/ontology/ATC/S01AA05","C0041499","T116","http://purl.bioontology.org/ontology/ATC/S01AA","Antibiotics, ophthalmologic","Antibiotics"
"http://healdb.org/rdf-schema#AI_1649","TIROTRICINA","http://purl.bioontology.org/ontology/ATC/S01AA05","C0041499","T195","http://purl.bioontology.org/ontology/ATC/S01AA","Antibiotics, ophthalmologic","Antibiotics"
"http://healdb.org/rdf-schema#AI_1649","TIROTRICINA","http://purl.bioontology.org/ontology/ATC/D06AX08","C0041499","T116","http://purl.bioontology.org/ontology/ATC/D06AX","Other antibiotics for topical use in ATC","Other antibiotics for topical use"
"http://healdb.org/rdf-schema#AI_1649","TIROTRICINA","http://purl.bioontology.org/ontology/ATC/D06AX08","C0041499","T195","http://purl.bioontology.org/ontology/ATC/D06AX","Other antibiotics for topical use in ATC","Other antibiotics for topical use"
"http://healdb.org/rdf-schema#AI_1650","BORATO DE SÓDIO","http://purl.bioontology.org/ontology/ATC/S01AX07","C0074727","T121","http://purl.bioontology.org/ontology/ATC/S01AX","Other antiinfectives in ATC","Other antiinfectives"
"http://healdb.org/rdf-schema#AI_1650","BORATO DE SÓDIO","http://purl.bioontology.org/ontology/ATC/S01AX07","C0074727","T197","http://purl.bioontology.org/ontology/ATC/S01AX","Other antiinfectives in ATC","Other antiinfectives"
"http://healdb.org/rdf-schema#AI_1656","ÓXIDO DE MAGNÉSIO","http://purl.bioontology.org/ontology/ATC/A06AD02","C0024477","T121","http://purl.bioontology.org/ontology/ATC/A06AD","Osmotically acting laxatives",
"http://healdb.org/rdf-schema#AI_1656","ÓXIDO DE MAGNÉSIO","http://purl.bioontology.org/ontology/ATC/A06AD02","C0024477","T197","http://purl.bioontology.org/ontology/ATC/A06AD","Osmotically acting laxatives",
"http://healdb.org/rdf-schema#AI_1656","ÓXIDO DE MAGNÉSIO","http://purl.bioontology.org/ontology/ATC/A12CC10","C0024477","T121","http://purl.bioontology.org/ontology/ATC/A12CC","Magnesium supplements, alimentary tract and metabolism","Magnesium"
"http://healdb.org/rdf-schema#AI_1656","ÓXIDO DE MAGNÉSIO","http://purl.bioontology.org/ontology/ATC/A12CC10","C0024477","T197","http://purl.bioontology.org/ontology/ATC/A12CC","Magnesium supplements, alimentary tract and metabolism","Magnesium"
"http://healdb.org/rdf-schema#AI_1656","ÓXIDO DE MAGNÉSIO","http://purl.bioontology.org/ontology/ATC/A02AA02","C0024477","T121","http://purl.bioontology.org/ontology/ATC/A02AA","antacids containing magnesium compounds","Magnesium compounds"
"http://healdb.org/rdf-schema#AI_1656","ÓXIDO DE MAGNÉSIO","http://purl.bioontology.org/ontology/ATC/A02AA02","C0024477","T197","http://purl.bioontology.org/ontology/ATC/A02AA","antacids containing magnesium compounds","Magnesium compounds"
"http://healdb.org/rdf-schema#AI_1664","BINIMETINIBE","http://purl.bioontology.org/ontology/ATC/L01EE03","C3899947","T109","http://purl.bioontology.org/ontology/ATC/L01EE","Mitogen-activated protein kinase (MEK) inhibitors",
"http://healdb.org/rdf-schema#AI_1664","BINIMETINIBE","http://purl.bioontology.org/ontology/ATC/L01EE03","C3899947","T121","http://purl.bioontology.org/ontology/ATC/L01EE","Mitogen-activated protein kinase (MEK) inhibitors",
"http://healdb.org/rdf-schema#AI_1665","CEPHAËLIS IPECACUANHA ( BROT. ) A.RICH.","http://purl.bioontology.org/ontology/ATC/R05CA04","C0022046","T109","http://purl.bioontology.org/ontology/ATC/R05CA","Expectorants",
"http://healdb.org/rdf-schema#AI_1665","CEPHAËLIS IPECACUANHA ( BROT. ) A.RICH.","http://purl.bioontology.org/ontology/ATC/R05CA04","C0022046","T121","http://purl.bioontology.org/ontology/ATC/R05CA","Expectorants",
"http://healdb.org/rdf-schema#AI_1665","CEPHAËLIS IPECACUANHA ( BROT. ) A.RICH.","http://purl.bioontology.org/ontology/ATC/V03AB01","C0022046","T109","http://purl.bioontology.org/ontology/ATC/V03AB","Antidotes",
"http://healdb.org/rdf-schema#AI_1665","CEPHAËLIS IPECACUANHA ( BROT. ) A.RICH.","http://purl.bioontology.org/ontology/ATC/V03AB01","C0022046","T121","http://purl.bioontology.org/ontology/ATC/V03AB","Antidotes",
"http://healdb.org/rdf-schema#AI_1672","MIRTAZAPINA","http://purl.bioontology.org/ontology/ATC/N06AX11","C0049506","T109","http://purl.bioontology.org/ontology/ATC/N06AX","Other antidepressants in ATC","Other antidepressants"
"http://healdb.org/rdf-schema#AI_1672","MIRTAZAPINA","http://purl.bioontology.org/ontology/ATC/N06AX11","C0049506","T121","http://purl.bioontology.org/ontology/ATC/N06AX","Other antidepressants in ATC","Other antidepressants"
"http://healdb.org/rdf-schema#AI_168","DESLORATADINA","http://purl.bioontology.org/ontology/ATC/R06AX27","C0908935","T109","http://purl.bioontology.org/ontology/ATC/R06AX","Other antihistamines for systemic use in ATC","Other antihistamines for systemic use"
"http://healdb.org/rdf-schema#AI_168","DESLORATADINA","http://purl.bioontology.org/ontology/ATC/R06AX27","C0908935","T121","http://purl.bioontology.org/ontology/ATC/R06AX","Other antihistamines for systemic use in ATC","Other antihistamines for systemic use"
"http://healdb.org/rdf-schema#AI_1681","ALFAVESTRONIDASE","http://purl.bioontology.org/ontology/ATC/A16AB18","C4519728","T116","http://purl.bioontology.org/ontology/ATC/A16AB","Enzymes for ALIMENTARY TRACT AND METABOLISM","Enzymes"
"http://healdb.org/rdf-schema#AI_1681","ALFAVESTRONIDASE","http://purl.bioontology.org/ontology/ATC/A16AB18","C4519728","T121","http://purl.bioontology.org/ontology/ATC/A16AB","Enzymes for ALIMENTARY TRACT AND METABOLISM","Enzymes"
"http://healdb.org/rdf-schema#AI_1681","ALFAVESTRONIDASE","http://purl.bioontology.org/ontology/ATC/A16AB18","C4519728","T126","http://purl.bioontology.org/ontology/ATC/A16AB","Enzymes for ALIMENTARY TRACT AND METABOLISM","Enzymes"
"http://healdb.org/rdf-schema#AI_1682","MESILATO DE CODERGOCRINA","http://purl.bioontology.org/ontology/ATC/C04AE01","C0014708","T109","http://purl.bioontology.org/ontology/ATC/C04AE","Ergot alkaloid peripheral vasodilators","Ergot alkaloids"
"http://healdb.org/rdf-schema#AI_1682","MESILATO DE CODERGOCRINA","http://purl.bioontology.org/ontology/ATC/C04AE01","C0014708","T121","http://purl.bioontology.org/ontology/ATC/C04AE","Ergot alkaloid peripheral vasodilators","Ergot alkaloids"
"http://healdb.org/rdf-schema#AI_1683","MESNA","http://purl.bioontology.org/ontology/ATC/R05CB05","C0000294","T109","http://purl.bioontology.org/ontology/ATC/R05CB","Mucolytics",
"http://healdb.org/rdf-schema#AI_1683","MESNA","http://purl.bioontology.org/ontology/ATC/R05CB05","C0000294","T121","http://purl.bioontology.org/ontology/ATC/R05CB","Mucolytics",
"http://healdb.org/rdf-schema#AI_1683","MESNA","http://purl.bioontology.org/ontology/ATC/V03AF01","C0000294","T109","http://purl.bioontology.org/ontology/ATC/V03AF","Detoxifying agents for antineoplastic treatment",
"http://healdb.org/rdf-schema#AI_1683","MESNA","http://purl.bioontology.org/ontology/ATC/V03AF01","C0000294","T121","http://purl.bioontology.org/ontology/ATC/V03AF","Detoxifying agents for antineoplastic treatment",
"http://healdb.org/rdf-schema#AI_1685","PIDOLATO DE PIRIDOXINA","http://purl.bioontology.org/ontology/ATC/A11HA02","C0034272","T109","http://purl.bioontology.org/ontology/ATC/A11HA","Other plain vitamin preparations in ATC","Other plain vitamin preparations"
"http://healdb.org/rdf-schema#AI_1685","PIDOLATO DE PIRIDOXINA","http://purl.bioontology.org/ontology/ATC/A11HA02","C0034272","T121","http://purl.bioontology.org/ontology/ATC/A11HA","Other plain vitamin preparations in ATC","Other plain vitamin preparations"
"http://healdb.org/rdf-schema#AI_1685","PIDOLATO DE PIRIDOXINA","http://purl.bioontology.org/ontology/ATC/A11HA02","C0034272","T127","http://purl.bioontology.org/ontology/ATC/A11HA","Other plain vitamin preparations in ATC","Other plain vitamin preparations"
"http://healdb.org/rdf-schema#AI_1686","TENECTEPLASE","http://purl.bioontology.org/ontology/ATC/B01AD11","C0872913","T116","http://purl.bioontology.org/ontology/ATC/B01AD","Enzymes, antithrombotic","Enzymes"
"http://healdb.org/rdf-schema#AI_1686","TENECTEPLASE","http://purl.bioontology.org/ontology/ATC/B01AD11","C0872913","T121","http://purl.bioontology.org/ontology/ATC/B01AD","Enzymes, antithrombotic","Enzymes"
"http://healdb.org/rdf-schema#AI_1686","TENECTEPLASE","http://purl.bioontology.org/ontology/ATC/B01AD11","C0872913","T126","http://purl.bioontology.org/ontology/ATC/B01AD","Enzymes, antithrombotic","Enzymes"
"http://healdb.org/rdf-schema#AI_1687","METOCLOSANTISA","http://purl.bioontology.org/ontology/ATC/A03FA01","C0025853","T109","http://purl.bioontology.org/ontology/ATC/A03FA","Propulsives",
"http://healdb.org/rdf-schema#AI_1687","METOCLOSANTISA","http://purl.bioontology.org/ontology/ATC/A03FA01","C0025853","T121","http://purl.bioontology.org/ontology/ATC/A03FA","Propulsives",
"http://healdb.org/rdf-schema#AI_1689","ÁCIDO NICOTÍNICO","http://purl.bioontology.org/ontology/ATC/C04AC01","C0027996","T109","http://purl.bioontology.org/ontology/ATC/C04AC","Nicotinic acid and derivatives, peripheral vasodilators","Nicotinic acid and derivatives"
"http://healdb.org/rdf-schema#AI_1689","ÁCIDO NICOTÍNICO","http://purl.bioontology.org/ontology/ATC/C04AC01","C0027996","T121","http://purl.bioontology.org/ontology/ATC/C04AC","Nicotinic acid and derivatives, peripheral vasodilators","Nicotinic acid and derivatives"
"http://healdb.org/rdf-schema#AI_1689","ÁCIDO NICOTÍNICO","http://purl.bioontology.org/ontology/ATC/C04AC01","C0027996","T127","http://purl.bioontology.org/ontology/ATC/C04AC","Nicotinic acid and derivatives, peripheral vasodilators","Nicotinic acid and derivatives"
"http://healdb.org/rdf-schema#AI_1689","ÁCIDO NICOTÍNICO","http://purl.bioontology.org/ontology/ATC/C10AD02","C0027996","T109","http://purl.bioontology.org/ontology/ATC/C10AD","Nicotinic acid and derivatives, lipid modifying, plain","Nicotinic acid and derivatives"
"http://healdb.org/rdf-schema#AI_1689","ÁCIDO NICOTÍNICO","http://purl.bioontology.org/ontology/ATC/C10AD02","C0027996","T121","http://purl.bioontology.org/ontology/ATC/C10AD","Nicotinic acid and derivatives, lipid modifying, plain","Nicotinic acid and derivatives"
"http://healdb.org/rdf-schema#AI_1689","ÁCIDO NICOTÍNICO","http://purl.bioontology.org/ontology/ATC/C10AD02","C0027996","T127","http://purl.bioontology.org/ontology/ATC/C10AD","Nicotinic acid and derivatives, lipid modifying, plain","Nicotinic acid and derivatives"
"http://healdb.org/rdf-schema#AI_169","LORATADINA","http://purl.bioontology.org/ontology/ATC/R06AX13","C0065180","T109","http://purl.bioontology.org/ontology/ATC/R06AX","Other antihistamines for systemic use in ATC","Other antihistamines for systemic use"
"http://healdb.org/rdf-schema#AI_169","LORATADINA","http://purl.bioontology.org/ontology/ATC/R06AX13","C0065180","T121","http://purl.bioontology.org/ontology/ATC/R06AX","Other antihistamines for systemic use in ATC","Other antihistamines for systemic use"
"http://healdb.org/rdf-schema#AI_1692","FLUTRIMAZOL","http://purl.bioontology.org/ontology/ATC/D01AC16","C0172907","T109","http://purl.bioontology.org/ontology/ATC/D01AC","Imidazole and triazole derivatives, topical antifungals","Imidazole and triazole derivatives"
"http://healdb.org/rdf-schema#AI_1692","FLUTRIMAZOL","http://purl.bioontology.org/ontology/ATC/D01AC16","C0172907","T121","http://purl.bioontology.org/ontology/ATC/D01AC","Imidazole and triazole derivatives, topical antifungals","Imidazole and triazole derivatives"
"http://healdb.org/rdf-schema#AI_1692","FLUTRIMAZOL","http://purl.bioontology.org/ontology/ATC/G01AF18","C0172907","T109","http://purl.bioontology.org/ontology/ATC/G01AF","Imidazole derivatives, gyncological antiinfectives","Imidazole derivatives"
"http://healdb.org/rdf-schema#AI_1692","FLUTRIMAZOL","http://purl.bioontology.org/ontology/ATC/G01AF18","C0172907","T121","http://purl.bioontology.org/ontology/ATC/G01AF","Imidazole derivatives, gyncological antiinfectives","Imidazole derivatives"
"http://healdb.org/rdf-schema#AI_1696","BENFOTIAMINA","http://purl.bioontology.org/ontology/ATC/A11DA03","C0053116","T109","http://purl.bioontology.org/ontology/ATC/A11DA","Vitamin B1, plain",
"http://healdb.org/rdf-schema#AI_1696","BENFOTIAMINA","http://purl.bioontology.org/ontology/ATC/A11DA03","C0053116","T121","http://purl.bioontology.org/ontology/ATC/A11DA","Vitamin B1, plain",
"http://healdb.org/rdf-schema#AI_1696","BENFOTIAMINA","http://purl.bioontology.org/ontology/ATC/A11DA03","C0053116","T127","http://purl.bioontology.org/ontology/ATC/A11DA","Vitamin B1, plain",
"http://healdb.org/rdf-schema#AI_1699","LAURIL SULFATO DE SÓDIO","http://purl.bioontology.org/ontology/ATC/A06AD13","C0074769","T121","http://purl.bioontology.org/ontology/ATC/A06AD","Osmotically acting laxatives",
